,Unnamed: 0,db,spectra,filepath,filename,adjusted_unique_filename,oulucasia-patient,oulucasia-emotion,filetype,race,expression,valence,arousal,expression_name,casia-session,casia-patient,casia-img_id,buaa-patient,buaa-image_type,customdb-patient,new_filetype,split
90,265,buaa,nir,data/BUAA/BUAAVISNIR/122/28.bmp,28.bmp,buaa-122-28.jpg,,,bmp,mongo,4.0,-0.03,0.92,Fear,,,,122.0,affection,,jpg,train
91,281,buaa,nir,data/BUAA/BUAAVISNIR/60/2.bmp,2.bmp,buaa-60-2.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,60.0,neutral,,jpg,train
100,299,buaa,nir,data/BUAA/BUAAVISNIR/60/22.bmp,22.bmp,buaa-60-22.jpg,,,bmp,mongo,1.0,0.95,0.14,Happy,,,,60.0,affection,,jpg,train
101,301,buaa,nir,data/BUAA/BUAAVISNIR/60/24.bmp,24.bmp,buaa-60-24.jpg,,,bmp,mongo,4.0,-0.07,0.77,Fear,,,,60.0,affection,,jpg,train
102,303,buaa,nir,data/BUAA/BUAAVISNIR/60/26.bmp,26.bmp,buaa-60-26.jpg,,,bmp,mongo,1.0,0.38,-0.12,Happy,,,,60.0,affection,,jpg,train
103,305,buaa,nir,data/BUAA/BUAAVISNIR/60/28.bmp,28.bmp,buaa-60-28.jpg,,,bmp,mongo,3.0,0.19,0.9,Surprise,,,,60.0,affection,,jpg,train
104,321,buaa,nir,data/BUAA/BUAAVISNIR/108/2.bmp,2.bmp,buaa-108-2.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,108.0,neutral,,jpg,train
113,339,buaa,nir,data/BUAA/BUAAVISNIR/108/22.bmp,22.bmp,buaa-108-22.jpg,,,bmp,mongo,1.0,0.87,0.09,Happy,,,,108.0,affection,,jpg,train
114,341,buaa,nir,data/BUAA/BUAAVISNIR/108/24.bmp,24.bmp,buaa-108-24.jpg,,,bmp,mongo,1.0,0.83,-0.06,Happy,,,,108.0,affection,,jpg,train
115,343,buaa,nir,data/BUAA/BUAAVISNIR/108/26.bmp,26.bmp,buaa-108-26.jpg,,,bmp,mongo,1.0,0.87,-0.11,Happy,,,,108.0,affection,,jpg,train
116,345,buaa,nir,data/BUAA/BUAAVISNIR/108/28.bmp,28.bmp,buaa-108-28.jpg,,,bmp,mongo,1.0,0.53,0.35,Happy,,,,108.0,affection,,jpg,train
117,361,buaa,nir,data/BUAA/BUAAVISNIR/144/2.bmp,2.bmp,buaa-144-2.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,144.0,neutral,,jpg,train
126,379,buaa,nir,data/BUAA/BUAAVISNIR/144/22.bmp,22.bmp,buaa-144-22.jpg,,,bmp,mongo,1.0,0.44,0.14,Happy,,,,144.0,affection,,jpg,train
127,381,buaa,nir,data/BUAA/BUAAVISNIR/144/24.bmp,24.bmp,buaa-144-24.jpg,,,bmp,mongo,2.0,-0.4,-0.14,Sad,,,,144.0,affection,,jpg,train
128,383,buaa,nir,data/BUAA/BUAAVISNIR/144/26.bmp,26.bmp,buaa-144-26.jpg,,,bmp,mongo,5.0,-0.68,0.47,Disgust,,,,144.0,affection,,jpg,train
129,385,buaa,nir,data/BUAA/BUAAVISNIR/144/28.bmp,28.bmp,buaa-144-28.jpg,,,bmp,mongo,3.0,0.06,0.89,Surprise,,,,144.0,affection,,jpg,train
130,401,buaa,nir,data/BUAA/BUAAVISNIR/72/2.bmp,2.bmp,buaa-72-2.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,72.0,neutral,,jpg,test
139,419,buaa,nir,data/BUAA/BUAAVISNIR/72/22.bmp,22.bmp,buaa-72-22.jpg,,,bmp,mongo,1.0,0.54,0.18,Happy,,,,72.0,affection,,jpg,test
140,421,buaa,nir,data/BUAA/BUAAVISNIR/72/24.bmp,24.bmp,buaa-72-24.jpg,,,bmp,mongo,2.0,-0.66,-0.51,Sad,,,,72.0,affection,,jpg,test
141,423,buaa,nir,data/BUAA/BUAAVISNIR/72/26.bmp,26.bmp,buaa-72-26.jpg,,,bmp,mongo,2.0,-0.79,-0.45,Sad,,,,72.0,affection,,jpg,test
142,425,buaa,nir,data/BUAA/BUAAVISNIR/72/28.bmp,28.bmp,buaa-72-28.jpg,,,bmp,mongo,2.0,-0.39,-0.26,Sad,,,,72.0,affection,,jpg,test
143,441,buaa,nir,data/BUAA/BUAAVISNIR/18/2.bmp,2.bmp,buaa-18-2.jpg,,,bmp,mongo,0.0,-0.03,-0.06,Neutral,,,,18.0,neutral,,jpg,train
152,459,buaa,nir,data/BUAA/BUAAVISNIR/18/22.bmp,22.bmp,buaa-18-22.jpg,,,bmp,mongo,1.0,0.89,-0.05,Happy,,,,18.0,affection,,jpg,train
153,461,buaa,nir,data/BUAA/BUAAVISNIR/18/24.bmp,24.bmp,buaa-18-24.jpg,,,bmp,mongo,6.0,-0.19,0.54,Anger,,,,18.0,affection,,jpg,train
154,463,buaa,nir,data/BUAA/BUAAVISNIR/18/26.bmp,26.bmp,buaa-18-26.jpg,,,bmp,mongo,7.0,0.18,0.6,Contempt,,,,18.0,affection,,jpg,train
155,465,buaa,nir,data/BUAA/BUAAVISNIR/18/28.bmp,28.bmp,buaa-18-28.jpg,,,bmp,mongo,0.0,0.16,0.1,Neutral,,,,18.0,affection,,jpg,train
156,481,buaa,nir,data/BUAA/BUAAVISNIR/22/2.bmp,2.bmp,buaa-22-2.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,22.0,neutral,,jpg,train
165,499,buaa,nir,data/BUAA/BUAAVISNIR/22/22.bmp,22.bmp,buaa-22-22.jpg,,,bmp,mongo,1.0,0.53,0.32,Happy,,,,22.0,affection,,jpg,train
166,501,buaa,nir,data/BUAA/BUAAVISNIR/22/24.bmp,24.bmp,buaa-22-24.jpg,,,bmp,mongo,2.0,-0.84,-0.42,Sad,,,,22.0,affection,,jpg,train
167,503,buaa,nir,data/BUAA/BUAAVISNIR/22/26.bmp,26.bmp,buaa-22-26.jpg,,,bmp,mongo,2.0,-0.76,-0.31,Sad,,,,22.0,affection,,jpg,train
168,505,buaa,nir,data/BUAA/BUAAVISNIR/22/28.bmp,28.bmp,buaa-22-28.jpg,,,bmp,mongo,2.0,-0.11,-0.33,Sad,,,,22.0,affection,,jpg,train
169,521,buaa,nir,data/BUAA/BUAAVISNIR/78/2.bmp,2.bmp,buaa-78-2.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,78.0,neutral,,jpg,train
178,539,buaa,nir,data/BUAA/BUAAVISNIR/78/22.bmp,22.bmp,buaa-78-22.jpg,,,bmp,mongo,1.0,1.0,0.16,Happy,,,,78.0,affection,,jpg,train
179,541,buaa,nir,data/BUAA/BUAAVISNIR/78/24.bmp,24.bmp,buaa-78-24.jpg,,,bmp,mongo,2.0,-0.57,-0.15,Sad,,,,78.0,affection,,jpg,train
180,543,buaa,nir,data/BUAA/BUAAVISNIR/78/26.bmp,26.bmp,buaa-78-26.jpg,,,bmp,mongo,1.0,0.89,-0.09,Happy,,,,78.0,affection,,jpg,train
181,545,buaa,nir,data/BUAA/BUAAVISNIR/78/28.bmp,28.bmp,buaa-78-28.jpg,,,bmp,mongo,4.0,-0.17,0.76,Fear,,,,78.0,affection,,jpg,train
182,561,buaa,nir,data/BUAA/BUAAVISNIR/71/2.bmp,2.bmp,buaa-71-2.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,71.0,neutral,,jpg,train
191,579,buaa,nir,data/BUAA/BUAAVISNIR/71/22.bmp,22.bmp,buaa-71-22.jpg,,,bmp,mongo,1.0,0.89,0.17,Happy,,,,71.0,affection,,jpg,train
192,581,buaa,nir,data/BUAA/BUAAVISNIR/71/24.bmp,24.bmp,buaa-71-24.jpg,,,bmp,mongo,1.0,0.93,-0.06,Happy,,,,71.0,affection,,jpg,train
193,583,buaa,nir,data/BUAA/BUAAVISNIR/71/26.bmp,26.bmp,buaa-71-26.jpg,,,bmp,mongo,2.0,-0.18,-0.14,Sad,,,,71.0,affection,,jpg,train
194,585,buaa,nir,data/BUAA/BUAAVISNIR/71/28.bmp,28.bmp,buaa-71-28.jpg,,,bmp,mongo,3.0,0.41,0.87,Surprise,,,,71.0,affection,,jpg,train
195,601,buaa,nir,data/BUAA/BUAAVISNIR/121/2.bmp,2.bmp,buaa-121-2.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,121.0,neutral,,jpg,train
204,619,buaa,nir,data/BUAA/BUAAVISNIR/121/22.bmp,22.bmp,buaa-121-22.jpg,,,bmp,mongo,1.0,0.62,0.36,Happy,,,,121.0,affection,,jpg,train
205,621,buaa,nir,data/BUAA/BUAAVISNIR/121/24.bmp,24.bmp,buaa-121-24.jpg,,,bmp,mongo,1.0,0.77,-0.59,Happy,,,,121.0,affection,,jpg,train
206,623,buaa,nir,data/BUAA/BUAAVISNIR/121/26.bmp,26.bmp,buaa-121-26.jpg,,,bmp,mongo,1.0,0.37,0.03,Happy,,,,121.0,affection,,jpg,train
207,625,buaa,nir,data/BUAA/BUAAVISNIR/121/28.bmp,28.bmp,buaa-121-28.jpg,,,bmp,mongo,3.0,0.36,0.85,Surprise,,,,121.0,affection,,jpg,train
208,641,buaa,nir,data/BUAA/BUAAVISNIR/81/2.bmp,2.bmp,buaa-81-2.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,81.0,neutral,,jpg,train
217,659,buaa,nir,data/BUAA/BUAAVISNIR/81/22.bmp,22.bmp,buaa-81-22.jpg,,,bmp,mongo,1.0,0.65,0.3,Happy,,,,81.0,affection,,jpg,train
218,661,buaa,nir,data/BUAA/BUAAVISNIR/81/24.bmp,24.bmp,buaa-81-24.jpg,,,bmp,mongo,6.0,-0.33,0.75,Anger,,,,81.0,affection,,jpg,train
219,663,buaa,nir,data/BUAA/BUAAVISNIR/81/26.bmp,26.bmp,buaa-81-26.jpg,,,bmp,mongo,2.0,-0.48,0.05,Sad,,,,81.0,affection,,jpg,train
220,665,buaa,nir,data/BUAA/BUAAVISNIR/81/28.bmp,28.bmp,buaa-81-28.jpg,,,bmp,mongo,1.0,0.61,0.36,Happy,,,,81.0,affection,,jpg,train
221,681,buaa,nir,data/BUAA/BUAAVISNIR/32/2.bmp,2.bmp,buaa-32-2.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,32.0,neutral,,jpg,train
230,699,buaa,nir,data/BUAA/BUAAVISNIR/32/22.bmp,22.bmp,buaa-32-22.jpg,,,bmp,mongo,1.0,0.14,0.25,Happy,,,,32.0,affection,,jpg,train
231,701,buaa,nir,data/BUAA/BUAAVISNIR/32/24.bmp,24.bmp,buaa-32-24.jpg,,,bmp,mongo,6.0,-0.44,0.78,Anger,,,,32.0,affection,,jpg,train
232,703,buaa,nir,data/BUAA/BUAAVISNIR/32/26.bmp,26.bmp,buaa-32-26.jpg,,,bmp,mongo,0.0,0.05,-0.61,Neutral,,,,32.0,affection,,jpg,train
233,705,buaa,nir,data/BUAA/BUAAVISNIR/32/28.bmp,28.bmp,buaa-32-28.jpg,,,bmp,mongo,4.0,-0.9,0.05,Fear,,,,32.0,affection,,jpg,train
234,721,buaa,nir,data/BUAA/BUAAVISNIR/34/2.bmp,2.bmp,buaa-34-2.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,34.0,neutral,,jpg,train
243,739,buaa,nir,data/BUAA/BUAAVISNIR/34/22.bmp,22.bmp,buaa-34-22.jpg,,,bmp,mongo,1.0,0.55,0.19,Happy,,,,34.0,affection,,jpg,train
244,741,buaa,nir,data/BUAA/BUAAVISNIR/34/24.bmp,24.bmp,buaa-34-24.jpg,,,bmp,mongo,1.0,0.74,-0.31,Happy,,,,34.0,affection,,jpg,train
245,743,buaa,nir,data/BUAA/BUAAVISNIR/34/26.bmp,26.bmp,buaa-34-26.jpg,,,bmp,mongo,1.0,0.51,-0.53,Happy,,,,34.0,affection,,jpg,train
246,745,buaa,nir,data/BUAA/BUAAVISNIR/34/28.bmp,28.bmp,buaa-34-28.jpg,,,bmp,mongo,1.0,0.69,0.14,Happy,,,,34.0,affection,,jpg,train
247,761,buaa,nir,data/BUAA/BUAAVISNIR/47/2.bmp,2.bmp,buaa-47-2.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,47.0,neutral,,jpg,train
256,779,buaa,nir,data/BUAA/BUAAVISNIR/47/22.bmp,22.bmp,buaa-47-22.jpg,,,bmp,mongo,1.0,0.73,0.16,Happy,,,,47.0,affection,,jpg,train
257,781,buaa,nir,data/BUAA/BUAAVISNIR/47/24.bmp,24.bmp,buaa-47-24.jpg,,,bmp,mongo,0.0,0.08,-0.6,Neutral,,,,47.0,affection,,jpg,train
258,783,buaa,nir,data/BUAA/BUAAVISNIR/47/26.bmp,26.bmp,buaa-47-26.jpg,,,bmp,mongo,2.0,-0.14,-0.36,Sad,,,,47.0,affection,,jpg,train
259,785,buaa,nir,data/BUAA/BUAAVISNIR/47/28.bmp,28.bmp,buaa-47-28.jpg,,,bmp,mongo,4.0,-0.09,0.89,Fear,,,,47.0,affection,,jpg,train
260,801,buaa,nir,data/BUAA/BUAAVISNIR/40/2.bmp,2.bmp,buaa-40-2.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,40.0,neutral,,jpg,train
269,819,buaa,nir,data/BUAA/BUAAVISNIR/40/22.bmp,22.bmp,buaa-40-22.jpg,,,bmp,mongo,1.0,0.85,-0.04,Happy,,,,40.0,affection,,jpg,train
270,821,buaa,nir,data/BUAA/BUAAVISNIR/40/24.bmp,24.bmp,buaa-40-24.jpg,,,bmp,mongo,2.0,-0.21,-0.21,Sad,,,,40.0,affection,,jpg,train
271,823,buaa,nir,data/BUAA/BUAAVISNIR/40/26.bmp,26.bmp,buaa-40-26.jpg,,,bmp,mongo,2.0,-0.79,-0.05,Sad,,,,40.0,affection,,jpg,train
272,825,buaa,nir,data/BUAA/BUAAVISNIR/40/28.bmp,28.bmp,buaa-40-28.jpg,,,bmp,mongo,3.0,-0.43,-0.15,Surprise,,,,40.0,affection,,jpg,train
273,841,buaa,nir,data/BUAA/BUAAVISNIR/35/2.bmp,2.bmp,buaa-35-2.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,35.0,neutral,,jpg,train
282,859,buaa,nir,data/BUAA/BUAAVISNIR/35/22.bmp,22.bmp,buaa-35-22.jpg,,,bmp,mongo,1.0,0.82,0.36,Happy,,,,35.0,affection,,jpg,train
283,861,buaa,nir,data/BUAA/BUAAVISNIR/35/24.bmp,24.bmp,buaa-35-24.jpg,,,bmp,mongo,2.0,-0.6,-0.41,Sad,,,,35.0,affection,,jpg,train
284,863,buaa,nir,data/BUAA/BUAAVISNIR/35/26.bmp,26.bmp,buaa-35-26.jpg,,,bmp,mongo,1.0,0.48,0.19,Happy,,,,35.0,affection,,jpg,train
285,865,buaa,nir,data/BUAA/BUAAVISNIR/35/28.bmp,28.bmp,buaa-35-28.jpg,,,bmp,mongo,1.0,0.49,0.04,Happy,,,,35.0,affection,,jpg,train
286,881,buaa,nir,data/BUAA/BUAAVISNIR/46/2.bmp,2.bmp,buaa-46-2.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,46.0,neutral,,jpg,train
295,899,buaa,nir,data/BUAA/BUAAVISNIR/46/22.bmp,22.bmp,buaa-46-22.jpg,,,bmp,mongo,1.0,0.39,0.15,Happy,,,,46.0,affection,,jpg,train
296,901,buaa,nir,data/BUAA/BUAAVISNIR/46/24.bmp,24.bmp,buaa-46-24.jpg,,,bmp,mongo,6.0,-0.33,0.25,Anger,,,,46.0,affection,,jpg,train
297,903,buaa,nir,data/BUAA/BUAAVISNIR/46/26.bmp,26.bmp,buaa-46-26.jpg,,,bmp,mongo,2.0,-0.49,-0.12,Sad,,,,46.0,affection,,jpg,train
298,905,buaa,nir,data/BUAA/BUAAVISNIR/46/28.bmp,28.bmp,buaa-46-28.jpg,,,bmp,mongo,4.0,-0.39,-0.22,Fear,,,,46.0,affection,,jpg,train
299,921,buaa,nir,data/BUAA/BUAAVISNIR/130/2.bmp,2.bmp,buaa-130-2.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,130.0,neutral,,jpg,train
308,939,buaa,nir,data/BUAA/BUAAVISNIR/130/22.bmp,22.bmp,buaa-130-22.jpg,,,bmp,mongo,1.0,0.8,0.15,Happy,,,,130.0,affection,,jpg,train
309,941,buaa,nir,data/BUAA/BUAAVISNIR/130/24.bmp,24.bmp,buaa-130-24.jpg,,,bmp,mongo,2.0,-0.19,-0.3,Sad,,,,130.0,affection,,jpg,train
310,943,buaa,nir,data/BUAA/BUAAVISNIR/130/26.bmp,26.bmp,buaa-130-26.jpg,,,bmp,mongo,2.0,-0.81,-0.41,Sad,,,,130.0,affection,,jpg,train
311,945,buaa,nir,data/BUAA/BUAAVISNIR/130/28.bmp,28.bmp,buaa-130-28.jpg,,,bmp,mongo,3.0,-0.41,-0.22,Surprise,,,,130.0,affection,,jpg,train
312,961,buaa,nir,data/BUAA/BUAAVISNIR/80/2.bmp,2.bmp,buaa-80-2.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,80.0,neutral,,jpg,train
321,979,buaa,nir,data/BUAA/BUAAVISNIR/80/22.bmp,22.bmp,buaa-80-22.jpg,,,bmp,mongo,1.0,0.91,-0.08,Happy,,,,80.0,affection,,jpg,train
322,981,buaa,nir,data/BUAA/BUAAVISNIR/80/24.bmp,24.bmp,buaa-80-24.jpg,,,bmp,mongo,5.0,-0.62,0.57,Disgust,,,,80.0,affection,,jpg,train
323,983,buaa,nir,data/BUAA/BUAAVISNIR/80/26.bmp,26.bmp,buaa-80-26.jpg,,,bmp,mongo,2.0,-0.72,-0.35,Sad,,,,80.0,affection,,jpg,train
324,985,buaa,nir,data/BUAA/BUAAVISNIR/80/28.bmp,28.bmp,buaa-80-28.jpg,,,bmp,mongo,3.0,0.41,0.86,Surprise,,,,80.0,affection,,jpg,train
325,1001,buaa,nir,data/BUAA/BUAAVISNIR/73/2.bmp,2.bmp,buaa-73-2.jpg,,,bmp,mongo,0.0,0.11,-0.13,Neutral,,,,73.0,neutral,,jpg,train
334,1019,buaa,nir,data/BUAA/BUAAVISNIR/73/22.bmp,22.bmp,buaa-73-22.jpg,,,bmp,mongo,1.0,0.93,0.16,Happy,,,,73.0,affection,,jpg,train
335,1021,buaa,nir,data/BUAA/BUAAVISNIR/73/24.bmp,24.bmp,buaa-73-24.jpg,,,bmp,mongo,1.0,0.66,0.03,Happy,,,,73.0,affection,,jpg,train
336,1023,buaa,nir,data/BUAA/BUAAVISNIR/73/26.bmp,26.bmp,buaa-73-26.jpg,,,bmp,mongo,1.0,0.6,0.09,Happy,,,,73.0,affection,,jpg,train
337,1025,buaa,nir,data/BUAA/BUAAVISNIR/73/28.bmp,28.bmp,buaa-73-28.jpg,,,bmp,mongo,1.0,0.51,0.32,Happy,,,,73.0,affection,,jpg,train
338,1041,buaa,nir,data/BUAA/BUAAVISNIR/89/2.bmp,2.bmp,buaa-89-2.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,89.0,neutral,,jpg,train
347,1059,buaa,nir,data/BUAA/BUAAVISNIR/89/22.bmp,22.bmp,buaa-89-22.jpg,,,bmp,mongo,1.0,0.39,0.29,Happy,,,,89.0,affection,,jpg,train
348,1061,buaa,nir,data/BUAA/BUAAVISNIR/89/24.bmp,24.bmp,buaa-89-24.jpg,,,bmp,mongo,0.0,0.73,-0.65,Neutral,,,,89.0,affection,,jpg,train
349,1063,buaa,nir,data/BUAA/BUAAVISNIR/89/26.bmp,26.bmp,buaa-89-26.jpg,,,bmp,mongo,7.0,0.17,0.68,Contempt,,,,89.0,affection,,jpg,train
350,1065,buaa,nir,data/BUAA/BUAAVISNIR/89/28.bmp,28.bmp,buaa-89-28.jpg,,,bmp,mongo,1.0,0.67,0.02,Happy,,,,89.0,affection,,jpg,train
351,1081,buaa,nir,data/BUAA/BUAAVISNIR/88/2.bmp,2.bmp,buaa-88-2.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,88.0,neutral,,jpg,train
360,1099,buaa,nir,data/BUAA/BUAAVISNIR/88/22.bmp,22.bmp,buaa-88-22.jpg,,,bmp,mongo,1.0,0.95,0.13,Happy,,,,88.0,affection,,jpg,train
361,1101,buaa,nir,data/BUAA/BUAAVISNIR/88/24.bmp,24.bmp,buaa-88-24.jpg,,,bmp,mongo,0.0,0.1,-0.56,Neutral,,,,88.0,affection,,jpg,train
362,1103,buaa,nir,data/BUAA/BUAAVISNIR/88/26.bmp,26.bmp,buaa-88-26.jpg,,,bmp,mongo,2.0,-0.32,-0.14,Sad,,,,88.0,affection,,jpg,train
