,db,spectra,filepath,filename,adjusted_unique_filename,oulucasia-patient,oulucasia-emotion,filetype,race,expression,valence,arousal,expression_name,casia-session,casia-patient,casia-img_id,buaa-patient,buaa-image_type,customdb-patient,new_filetype
185,buaa,nir,data/BUAA/BUAAVISNIR/94/28.bmp,28.bmp,buaa-94-28.jpg,,,bmp,mongo,4.0,-0.14,0.78,Fear,,,,94,affection,,jpg
201,buaa,nir,data/BUAA/BUAAVISNIR/3/2.bmp,2.bmp,buaa-3-2.jpg,,,bmp,mongo,0.0,0.01,0.0,Neutral,,,,3,neutral,,jpg
203,buaa,nir,data/BUAA/BUAAVISNIR/3/4.bmp,4.bmp,buaa-3-4.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,3,tilt,,jpg
205,buaa,nir,data/BUAA/BUAAVISNIR/3/6.bmp,6.bmp,buaa-3-6.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,3,tilt,,jpg
207,buaa,nir,data/BUAA/BUAAVISNIR/3/8.bmp,8.bmp,buaa-3-8.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,3,tilt,,jpg
209,buaa,nir,data/BUAA/BUAAVISNIR/3/10.bmp,10.bmp,buaa-3-10.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,3,tilt,,jpg
211,buaa,nir,data/BUAA/BUAAVISNIR/3/12.bmp,12.bmp,buaa-3-12.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,3,tilt,,jpg
213,buaa,nir,data/BUAA/BUAAVISNIR/3/14.bmp,14.bmp,buaa-3-14.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,3,tilt,,jpg
215,buaa,nir,data/BUAA/BUAAVISNIR/3/16.bmp,16.bmp,buaa-3-16.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,3,tilt,,jpg
217,buaa,nir,data/BUAA/BUAAVISNIR/3/18.bmp,18.bmp,buaa-3-18.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,3,tilt,,jpg
219,buaa,nir,data/BUAA/BUAAVISNIR/3/22.bmp,22.bmp,buaa-3-22.jpg,,,bmp,mongo,1.0,0.51,0.34,Happy,,,,3,affection,,jpg
221,buaa,nir,data/BUAA/BUAAVISNIR/3/24.bmp,24.bmp,buaa-3-24.jpg,,,bmp,mongo,6.0,-0.4,0.77,Anger,,,,3,affection,,jpg
223,buaa,nir,data/BUAA/BUAAVISNIR/3/26.bmp,26.bmp,buaa-3-26.jpg,,,bmp,mongo,1.0,0.47,0.22,Happy,,,,3,affection,,jpg
225,buaa,nir,data/BUAA/BUAAVISNIR/3/28.bmp,28.bmp,buaa-3-28.jpg,,,bmp,mongo,3.0,0.52,0.37,Surprise,,,,3,affection,,jpg
241,buaa,nir,data/BUAA/BUAAVISNIR/122/2.bmp,2.bmp,buaa-122-2.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,122,neutral,,jpg
243,buaa,nir,data/BUAA/BUAAVISNIR/122/4.bmp,4.bmp,buaa-122-4.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,122,tilt,,jpg
245,buaa,nir,data/BUAA/BUAAVISNIR/122/6.bmp,6.bmp,buaa-122-6.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,122,tilt,,jpg
247,buaa,nir,data/BUAA/BUAAVISNIR/122/8.bmp,8.bmp,buaa-122-8.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,122,tilt,,jpg
249,buaa,nir,data/BUAA/BUAAVISNIR/122/10.bmp,10.bmp,buaa-122-10.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,122,tilt,,jpg
251,buaa,nir,data/BUAA/BUAAVISNIR/122/12.bmp,12.bmp,buaa-122-12.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,122,tilt,,jpg
253,buaa,nir,data/BUAA/BUAAVISNIR/122/14.bmp,14.bmp,buaa-122-14.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,122,tilt,,jpg
255,buaa,nir,data/BUAA/BUAAVISNIR/122/16.bmp,16.bmp,buaa-122-16.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,122,tilt,,jpg
257,buaa,nir,data/BUAA/BUAAVISNIR/122/18.bmp,18.bmp,buaa-122-18.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,122,tilt,,jpg
259,buaa,nir,data/BUAA/BUAAVISNIR/122/22.bmp,22.bmp,buaa-122-22.jpg,,,bmp,mongo,1.0,0.42,0.13,Happy,,,,122,affection,,jpg
261,buaa,nir,data/BUAA/BUAAVISNIR/122/24.bmp,24.bmp,buaa-122-24.jpg,,,bmp,mongo,2.0,-0.11,-0.34,Sad,,,,122,affection,,jpg
263,buaa,nir,data/BUAA/BUAAVISNIR/122/26.bmp,26.bmp,buaa-122-26.jpg,,,bmp,mongo,2.0,-0.82,-0.42,Sad,,,,122,affection,,jpg
265,buaa,nir,data/BUAA/BUAAVISNIR/122/28.bmp,28.bmp,buaa-122-28.jpg,,,bmp,mongo,4.0,-0.03,0.92,Fear,,,,122,affection,,jpg
281,buaa,nir,data/BUAA/BUAAVISNIR/60/2.bmp,2.bmp,buaa-60-2.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,60,neutral,,jpg
283,buaa,nir,data/BUAA/BUAAVISNIR/60/4.bmp,4.bmp,buaa-60-4.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,60,tilt,,jpg
285,buaa,nir,data/BUAA/BUAAVISNIR/60/6.bmp,6.bmp,buaa-60-6.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,60,tilt,,jpg
287,buaa,nir,data/BUAA/BUAAVISNIR/60/8.bmp,8.bmp,buaa-60-8.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,60,tilt,,jpg
289,buaa,nir,data/BUAA/BUAAVISNIR/60/10.bmp,10.bmp,buaa-60-10.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,60,tilt,,jpg
291,buaa,nir,data/BUAA/BUAAVISNIR/60/12.bmp,12.bmp,buaa-60-12.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,60,tilt,,jpg
293,buaa,nir,data/BUAA/BUAAVISNIR/60/14.bmp,14.bmp,buaa-60-14.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,60,tilt,,jpg
295,buaa,nir,data/BUAA/BUAAVISNIR/60/16.bmp,16.bmp,buaa-60-16.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,60,tilt,,jpg
297,buaa,nir,data/BUAA/BUAAVISNIR/60/18.bmp,18.bmp,buaa-60-18.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,60,tilt,,jpg
299,buaa,nir,data/BUAA/BUAAVISNIR/60/22.bmp,22.bmp,buaa-60-22.jpg,,,bmp,mongo,1.0,0.95,0.14,Happy,,,,60,affection,,jpg
301,buaa,nir,data/BUAA/BUAAVISNIR/60/24.bmp,24.bmp,buaa-60-24.jpg,,,bmp,mongo,4.0,-0.07,0.77,Fear,,,,60,affection,,jpg
303,buaa,nir,data/BUAA/BUAAVISNIR/60/26.bmp,26.bmp,buaa-60-26.jpg,,,bmp,mongo,1.0,0.38,-0.12,Happy,,,,60,affection,,jpg
305,buaa,nir,data/BUAA/BUAAVISNIR/60/28.bmp,28.bmp,buaa-60-28.jpg,,,bmp,mongo,3.0,0.19,0.9,Surprise,,,,60,affection,,jpg
321,buaa,nir,data/BUAA/BUAAVISNIR/108/2.bmp,2.bmp,buaa-108-2.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,108,neutral,,jpg
323,buaa,nir,data/BUAA/BUAAVISNIR/108/4.bmp,4.bmp,buaa-108-4.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,108,tilt,,jpg
325,buaa,nir,data/BUAA/BUAAVISNIR/108/6.bmp,6.bmp,buaa-108-6.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,108,tilt,,jpg
327,buaa,nir,data/BUAA/BUAAVISNIR/108/8.bmp,8.bmp,buaa-108-8.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,108,tilt,,jpg
329,buaa,nir,data/BUAA/BUAAVISNIR/108/10.bmp,10.bmp,buaa-108-10.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,108,tilt,,jpg
331,buaa,nir,data/BUAA/BUAAVISNIR/108/12.bmp,12.bmp,buaa-108-12.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,108,tilt,,jpg
333,buaa,nir,data/BUAA/BUAAVISNIR/108/14.bmp,14.bmp,buaa-108-14.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,108,tilt,,jpg
335,buaa,nir,data/BUAA/BUAAVISNIR/108/16.bmp,16.bmp,buaa-108-16.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,108,tilt,,jpg
337,buaa,nir,data/BUAA/BUAAVISNIR/108/18.bmp,18.bmp,buaa-108-18.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,108,tilt,,jpg
339,buaa,nir,data/BUAA/BUAAVISNIR/108/22.bmp,22.bmp,buaa-108-22.jpg,,,bmp,mongo,1.0,0.87,0.09,Happy,,,,108,affection,,jpg
341,buaa,nir,data/BUAA/BUAAVISNIR/108/24.bmp,24.bmp,buaa-108-24.jpg,,,bmp,mongo,1.0,0.83,-0.06,Happy,,,,108,affection,,jpg
343,buaa,nir,data/BUAA/BUAAVISNIR/108/26.bmp,26.bmp,buaa-108-26.jpg,,,bmp,mongo,1.0,0.87,-0.11,Happy,,,,108,affection,,jpg
345,buaa,nir,data/BUAA/BUAAVISNIR/108/28.bmp,28.bmp,buaa-108-28.jpg,,,bmp,mongo,1.0,0.53,0.35,Happy,,,,108,affection,,jpg
361,buaa,nir,data/BUAA/BUAAVISNIR/144/2.bmp,2.bmp,buaa-144-2.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,144,neutral,,jpg
363,buaa,nir,data/BUAA/BUAAVISNIR/144/4.bmp,4.bmp,buaa-144-4.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,144,tilt,,jpg
365,buaa,nir,data/BUAA/BUAAVISNIR/144/6.bmp,6.bmp,buaa-144-6.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,144,tilt,,jpg
367,buaa,nir,data/BUAA/BUAAVISNIR/144/8.bmp,8.bmp,buaa-144-8.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,144,tilt,,jpg
369,buaa,nir,data/BUAA/BUAAVISNIR/144/10.bmp,10.bmp,buaa-144-10.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,144,tilt,,jpg
371,buaa,nir,data/BUAA/BUAAVISNIR/144/12.bmp,12.bmp,buaa-144-12.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,144,tilt,,jpg
373,buaa,nir,data/BUAA/BUAAVISNIR/144/14.bmp,14.bmp,buaa-144-14.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,144,tilt,,jpg
375,buaa,nir,data/BUAA/BUAAVISNIR/144/16.bmp,16.bmp,buaa-144-16.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,144,tilt,,jpg
377,buaa,nir,data/BUAA/BUAAVISNIR/144/18.bmp,18.bmp,buaa-144-18.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,144,tilt,,jpg
379,buaa,nir,data/BUAA/BUAAVISNIR/144/22.bmp,22.bmp,buaa-144-22.jpg,,,bmp,mongo,1.0,0.44,0.14,Happy,,,,144,affection,,jpg
381,buaa,nir,data/BUAA/BUAAVISNIR/144/24.bmp,24.bmp,buaa-144-24.jpg,,,bmp,mongo,2.0,-0.4,-0.14,Sad,,,,144,affection,,jpg
383,buaa,nir,data/BUAA/BUAAVISNIR/144/26.bmp,26.bmp,buaa-144-26.jpg,,,bmp,mongo,5.0,-0.68,0.47,Disgust,,,,144,affection,,jpg
385,buaa,nir,data/BUAA/BUAAVISNIR/144/28.bmp,28.bmp,buaa-144-28.jpg,,,bmp,mongo,3.0,0.06,0.89,Surprise,,,,144,affection,,jpg
441,buaa,nir,data/BUAA/BUAAVISNIR/18/2.bmp,2.bmp,buaa-18-2.jpg,,,bmp,mongo,0.0,-0.03,-0.06,Neutral,,,,18,neutral,,jpg
443,buaa,nir,data/BUAA/BUAAVISNIR/18/4.bmp,4.bmp,buaa-18-4.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,18,tilt,,jpg
445,buaa,nir,data/BUAA/BUAAVISNIR/18/6.bmp,6.bmp,buaa-18-6.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,18,tilt,,jpg
447,buaa,nir,data/BUAA/BUAAVISNIR/18/8.bmp,8.bmp,buaa-18-8.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,18,tilt,,jpg
449,buaa,nir,data/BUAA/BUAAVISNIR/18/10.bmp,10.bmp,buaa-18-10.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,18,tilt,,jpg
451,buaa,nir,data/BUAA/BUAAVISNIR/18/12.bmp,12.bmp,buaa-18-12.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,18,tilt,,jpg
453,buaa,nir,data/BUAA/BUAAVISNIR/18/14.bmp,14.bmp,buaa-18-14.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,18,tilt,,jpg
455,buaa,nir,data/BUAA/BUAAVISNIR/18/16.bmp,16.bmp,buaa-18-16.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,18,tilt,,jpg
457,buaa,nir,data/BUAA/BUAAVISNIR/18/18.bmp,18.bmp,buaa-18-18.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,18,tilt,,jpg
459,buaa,nir,data/BUAA/BUAAVISNIR/18/22.bmp,22.bmp,buaa-18-22.jpg,,,bmp,mongo,1.0,0.89,-0.05,Happy,,,,18,affection,,jpg
461,buaa,nir,data/BUAA/BUAAVISNIR/18/24.bmp,24.bmp,buaa-18-24.jpg,,,bmp,mongo,6.0,-0.19,0.54,Anger,,,,18,affection,,jpg
463,buaa,nir,data/BUAA/BUAAVISNIR/18/26.bmp,26.bmp,buaa-18-26.jpg,,,bmp,mongo,7.0,0.18,0.6,Contempt,,,,18,affection,,jpg
465,buaa,nir,data/BUAA/BUAAVISNIR/18/28.bmp,28.bmp,buaa-18-28.jpg,,,bmp,mongo,0.0,0.16,0.1,Neutral,,,,18,affection,,jpg
481,buaa,nir,data/BUAA/BUAAVISNIR/22/2.bmp,2.bmp,buaa-22-2.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,22,neutral,,jpg
483,buaa,nir,data/BUAA/BUAAVISNIR/22/4.bmp,4.bmp,buaa-22-4.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,22,tilt,,jpg
485,buaa,nir,data/BUAA/BUAAVISNIR/22/6.bmp,6.bmp,buaa-22-6.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,22,tilt,,jpg
487,buaa,nir,data/BUAA/BUAAVISNIR/22/8.bmp,8.bmp,buaa-22-8.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,22,tilt,,jpg
489,buaa,nir,data/BUAA/BUAAVISNIR/22/10.bmp,10.bmp,buaa-22-10.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,22,tilt,,jpg
