,db,spectra,filepath,filename,adjusted_unique_filename,oulucasia-patient,oulucasia-emotion,filetype,race,expression,valence,arousal,expression_name,casia-session,casia-patient,casia-img_id,buaa-patient,buaa-image_type,customdb-patient,new_filetype,split
137,buaa,nir,data/BUAA/BUAAVISNIR/112/18.bmp,18.bmp,buaa-112-18.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,112,tilt,,jpg,train
139,buaa,nir,data/BUAA/BUAAVISNIR/112/22.bmp,22.bmp,buaa-112-22.jpg,,,bmp,mongo,1.0,0.44,0.2,Happy,,,,112,affection,,jpg,train
141,buaa,nir,data/BUAA/BUAAVISNIR/112/24.bmp,24.bmp,buaa-112-24.jpg,,,bmp,mongo,2.0,-0.52,-0.07,Sad,,,,112,affection,,jpg,train
143,buaa,nir,data/BUAA/BUAAVISNIR/112/26.bmp,26.bmp,buaa-112-26.jpg,,,bmp,mongo,0.0,0.01,-0.02,Neutral,,,,112,affection,,jpg,train
145,buaa,nir,data/BUAA/BUAAVISNIR/112/28.bmp,28.bmp,buaa-112-28.jpg,,,bmp,mongo,3.0,0.07,0.9,Surprise,,,,112,affection,,jpg,train
161,buaa,nir,data/BUAA/BUAAVISNIR/94/2.bmp,2.bmp,buaa-94-2.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,94,neutral,,jpg,train
163,buaa,nir,data/BUAA/BUAAVISNIR/94/4.bmp,4.bmp,buaa-94-4.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,94,tilt,,jpg,train
165,buaa,nir,data/BUAA/BUAAVISNIR/94/6.bmp,6.bmp,buaa-94-6.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,94,tilt,,jpg,train
167,buaa,nir,data/BUAA/BUAAVISNIR/94/8.bmp,8.bmp,buaa-94-8.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,94,tilt,,jpg,train
169,buaa,nir,data/BUAA/BUAAVISNIR/94/10.bmp,10.bmp,buaa-94-10.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,94,tilt,,jpg,train
171,buaa,nir,data/BUAA/BUAAVISNIR/94/12.bmp,12.bmp,buaa-94-12.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,94,tilt,,jpg,train
173,buaa,nir,data/BUAA/BUAAVISNIR/94/14.bmp,14.bmp,buaa-94-14.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,94,tilt,,jpg,train
175,buaa,nir,data/BUAA/BUAAVISNIR/94/16.bmp,16.bmp,buaa-94-16.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,94,tilt,,jpg,train
177,buaa,nir,data/BUAA/BUAAVISNIR/94/18.bmp,18.bmp,buaa-94-18.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,94,tilt,,jpg,train
179,buaa,nir,data/BUAA/BUAAVISNIR/94/22.bmp,22.bmp,buaa-94-22.jpg,,,bmp,mongo,1.0,0.88,0.34,Happy,,,,94,affection,,jpg,train
181,buaa,nir,data/BUAA/BUAAVISNIR/94/24.bmp,24.bmp,buaa-94-24.jpg,,,bmp,mongo,6.0,-0.76,0.2,Anger,,,,94,affection,,jpg,train
183,buaa,nir,data/BUAA/BUAAVISNIR/94/26.bmp,26.bmp,buaa-94-26.jpg,,,bmp,mongo,2.0,-0.8,-0.47,Sad,,,,94,affection,,jpg,train
185,buaa,nir,data/BUAA/BUAAVISNIR/94/28.bmp,28.bmp,buaa-94-28.jpg,,,bmp,mongo,4.0,-0.14,0.78,Fear,,,,94,affection,,jpg,train
201,buaa,nir,data/BUAA/BUAAVISNIR/3/2.bmp,2.bmp,buaa-3-2.jpg,,,bmp,mongo,0.0,0.01,0.0,Neutral,,,,3,neutral,,jpg,train
203,buaa,nir,data/BUAA/BUAAVISNIR/3/4.bmp,4.bmp,buaa-3-4.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,3,tilt,,jpg,train
205,buaa,nir,data/BUAA/BUAAVISNIR/3/6.bmp,6.bmp,buaa-3-6.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,3,tilt,,jpg,train
207,buaa,nir,data/BUAA/BUAAVISNIR/3/8.bmp,8.bmp,buaa-3-8.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,3,tilt,,jpg,train
209,buaa,nir,data/BUAA/BUAAVISNIR/3/10.bmp,10.bmp,buaa-3-10.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,3,tilt,,jpg,train
211,buaa,nir,data/BUAA/BUAAVISNIR/3/12.bmp,12.bmp,buaa-3-12.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,3,tilt,,jpg,train
213,buaa,nir,data/BUAA/BUAAVISNIR/3/14.bmp,14.bmp,buaa-3-14.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,3,tilt,,jpg,train
215,buaa,nir,data/BUAA/BUAAVISNIR/3/16.bmp,16.bmp,buaa-3-16.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,3,tilt,,jpg,train
217,buaa,nir,data/BUAA/BUAAVISNIR/3/18.bmp,18.bmp,buaa-3-18.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,3,tilt,,jpg,train
219,buaa,nir,data/BUAA/BUAAVISNIR/3/22.bmp,22.bmp,buaa-3-22.jpg,,,bmp,mongo,1.0,0.51,0.34,Happy,,,,3,affection,,jpg,train
221,buaa,nir,data/BUAA/BUAAVISNIR/3/24.bmp,24.bmp,buaa-3-24.jpg,,,bmp,mongo,6.0,-0.4,0.77,Anger,,,,3,affection,,jpg,train
223,buaa,nir,data/BUAA/BUAAVISNIR/3/26.bmp,26.bmp,buaa-3-26.jpg,,,bmp,mongo,1.0,0.47,0.22,Happy,,,,3,affection,,jpg,train
225,buaa,nir,data/BUAA/BUAAVISNIR/3/28.bmp,28.bmp,buaa-3-28.jpg,,,bmp,mongo,3.0,0.52,0.37,Surprise,,,,3,affection,,jpg,train
241,buaa,nir,data/BUAA/BUAAVISNIR/122/2.bmp,2.bmp,buaa-122-2.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,122,neutral,,jpg,train
243,buaa,nir,data/BUAA/BUAAVISNIR/122/4.bmp,4.bmp,buaa-122-4.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,122,tilt,,jpg,train
245,buaa,nir,data/BUAA/BUAAVISNIR/122/6.bmp,6.bmp,buaa-122-6.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,122,tilt,,jpg,train
247,buaa,nir,data/BUAA/BUAAVISNIR/122/8.bmp,8.bmp,buaa-122-8.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,122,tilt,,jpg,train
249,buaa,nir,data/BUAA/BUAAVISNIR/122/10.bmp,10.bmp,buaa-122-10.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,122,tilt,,jpg,train
251,buaa,nir,data/BUAA/BUAAVISNIR/122/12.bmp,12.bmp,buaa-122-12.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,122,tilt,,jpg,train
253,buaa,nir,data/BUAA/BUAAVISNIR/122/14.bmp,14.bmp,buaa-122-14.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,122,tilt,,jpg,train
255,buaa,nir,data/BUAA/BUAAVISNIR/122/16.bmp,16.bmp,buaa-122-16.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,122,tilt,,jpg,train
257,buaa,nir,data/BUAA/BUAAVISNIR/122/18.bmp,18.bmp,buaa-122-18.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,122,tilt,,jpg,train
259,buaa,nir,data/BUAA/BUAAVISNIR/122/22.bmp,22.bmp,buaa-122-22.jpg,,,bmp,mongo,1.0,0.42,0.13,Happy,,,,122,affection,,jpg,train
261,buaa,nir,data/BUAA/BUAAVISNIR/122/24.bmp,24.bmp,buaa-122-24.jpg,,,bmp,mongo,2.0,-0.11,-0.34,Sad,,,,122,affection,,jpg,train
263,buaa,nir,data/BUAA/BUAAVISNIR/122/26.bmp,26.bmp,buaa-122-26.jpg,,,bmp,mongo,2.0,-0.82,-0.42,Sad,,,,122,affection,,jpg,train
265,buaa,nir,data/BUAA/BUAAVISNIR/122/28.bmp,28.bmp,buaa-122-28.jpg,,,bmp,mongo,4.0,-0.03,0.92,Fear,,,,122,affection,,jpg,train
281,buaa,nir,data/BUAA/BUAAVISNIR/60/2.bmp,2.bmp,buaa-60-2.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,60,neutral,,jpg,train
283,buaa,nir,data/BUAA/BUAAVISNIR/60/4.bmp,4.bmp,buaa-60-4.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,60,tilt,,jpg,train
285,buaa,nir,data/BUAA/BUAAVISNIR/60/6.bmp,6.bmp,buaa-60-6.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,60,tilt,,jpg,train
287,buaa,nir,data/BUAA/BUAAVISNIR/60/8.bmp,8.bmp,buaa-60-8.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,60,tilt,,jpg,train
289,buaa,nir,data/BUAA/BUAAVISNIR/60/10.bmp,10.bmp,buaa-60-10.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,60,tilt,,jpg,train
291,buaa,nir,data/BUAA/BUAAVISNIR/60/12.bmp,12.bmp,buaa-60-12.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,60,tilt,,jpg,train
293,buaa,nir,data/BUAA/BUAAVISNIR/60/14.bmp,14.bmp,buaa-60-14.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,60,tilt,,jpg,train
295,buaa,nir,data/BUAA/BUAAVISNIR/60/16.bmp,16.bmp,buaa-60-16.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,60,tilt,,jpg,train
297,buaa,nir,data/BUAA/BUAAVISNIR/60/18.bmp,18.bmp,buaa-60-18.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,60,tilt,,jpg,train
299,buaa,nir,data/BUAA/BUAAVISNIR/60/22.bmp,22.bmp,buaa-60-22.jpg,,,bmp,mongo,1.0,0.95,0.14,Happy,,,,60,affection,,jpg,train
301,buaa,nir,data/BUAA/BUAAVISNIR/60/24.bmp,24.bmp,buaa-60-24.jpg,,,bmp,mongo,4.0,-0.07,0.77,Fear,,,,60,affection,,jpg,train
303,buaa,nir,data/BUAA/BUAAVISNIR/60/26.bmp,26.bmp,buaa-60-26.jpg,,,bmp,mongo,1.0,0.38,-0.12,Happy,,,,60,affection,,jpg,train
305,buaa,nir,data/BUAA/BUAAVISNIR/60/28.bmp,28.bmp,buaa-60-28.jpg,,,bmp,mongo,3.0,0.19,0.9,Surprise,,,,60,affection,,jpg,train
321,buaa,nir,data/BUAA/BUAAVISNIR/108/2.bmp,2.bmp,buaa-108-2.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,108,neutral,,jpg,train
323,buaa,nir,data/BUAA/BUAAVISNIR/108/4.bmp,4.bmp,buaa-108-4.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,108,tilt,,jpg,train
325,buaa,nir,data/BUAA/BUAAVISNIR/108/6.bmp,6.bmp,buaa-108-6.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,108,tilt,,jpg,train
327,buaa,nir,data/BUAA/BUAAVISNIR/108/8.bmp,8.bmp,buaa-108-8.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,108,tilt,,jpg,train
329,buaa,nir,data/BUAA/BUAAVISNIR/108/10.bmp,10.bmp,buaa-108-10.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,108,tilt,,jpg,train
331,buaa,nir,data/BUAA/BUAAVISNIR/108/12.bmp,12.bmp,buaa-108-12.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,108,tilt,,jpg,train
333,buaa,nir,data/BUAA/BUAAVISNIR/108/14.bmp,14.bmp,buaa-108-14.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,108,tilt,,jpg,train
335,buaa,nir,data/BUAA/BUAAVISNIR/108/16.bmp,16.bmp,buaa-108-16.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,108,tilt,,jpg,train
337,buaa,nir,data/BUAA/BUAAVISNIR/108/18.bmp,18.bmp,buaa-108-18.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,108,tilt,,jpg,train
339,buaa,nir,data/BUAA/BUAAVISNIR/108/22.bmp,22.bmp,buaa-108-22.jpg,,,bmp,mongo,1.0,0.87,0.09,Happy,,,,108,affection,,jpg,train
341,buaa,nir,data/BUAA/BUAAVISNIR/108/24.bmp,24.bmp,buaa-108-24.jpg,,,bmp,mongo,1.0,0.83,-0.06,Happy,,,,108,affection,,jpg,train
343,buaa,nir,data/BUAA/BUAAVISNIR/108/26.bmp,26.bmp,buaa-108-26.jpg,,,bmp,mongo,1.0,0.87,-0.11,Happy,,,,108,affection,,jpg,train
345,buaa,nir,data/BUAA/BUAAVISNIR/108/28.bmp,28.bmp,buaa-108-28.jpg,,,bmp,mongo,1.0,0.53,0.35,Happy,,,,108,affection,,jpg,train
361,buaa,nir,data/BUAA/BUAAVISNIR/144/2.bmp,2.bmp,buaa-144-2.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,144,neutral,,jpg,train
363,buaa,nir,data/BUAA/BUAAVISNIR/144/4.bmp,4.bmp,buaa-144-4.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,144,tilt,,jpg,train
365,buaa,nir,data/BUAA/BUAAVISNIR/144/6.bmp,6.bmp,buaa-144-6.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,144,tilt,,jpg,train
367,buaa,nir,data/BUAA/BUAAVISNIR/144/8.bmp,8.bmp,buaa-144-8.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,144,tilt,,jpg,train
369,buaa,nir,data/BUAA/BUAAVISNIR/144/10.bmp,10.bmp,buaa-144-10.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,144,tilt,,jpg,train
371,buaa,nir,data/BUAA/BUAAVISNIR/144/12.bmp,12.bmp,buaa-144-12.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,144,tilt,,jpg,train
373,buaa,nir,data/BUAA/BUAAVISNIR/144/14.bmp,14.bmp,buaa-144-14.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,144,tilt,,jpg,train
375,buaa,nir,data/BUAA/BUAAVISNIR/144/16.bmp,16.bmp,buaa-144-16.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,144,tilt,,jpg,train
377,buaa,nir,data/BUAA/BUAAVISNIR/144/18.bmp,18.bmp,buaa-144-18.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,144,tilt,,jpg,train
379,buaa,nir,data/BUAA/BUAAVISNIR/144/22.bmp,22.bmp,buaa-144-22.jpg,,,bmp,mongo,1.0,0.44,0.14,Happy,,,,144,affection,,jpg,train
381,buaa,nir,data/BUAA/BUAAVISNIR/144/24.bmp,24.bmp,buaa-144-24.jpg,,,bmp,mongo,2.0,-0.4,-0.14,Sad,,,,144,affection,,jpg,train
383,buaa,nir,data/BUAA/BUAAVISNIR/144/26.bmp,26.bmp,buaa-144-26.jpg,,,bmp,mongo,5.0,-0.68,0.47,Disgust,,,,144,affection,,jpg,train
385,buaa,nir,data/BUAA/BUAAVISNIR/144/28.bmp,28.bmp,buaa-144-28.jpg,,,bmp,mongo,3.0,0.06,0.89,Surprise,,,,144,affection,,jpg,train
401,buaa,nir,data/BUAA/BUAAVISNIR/72/2.bmp,2.bmp,buaa-72-2.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,72,neutral,,jpg,test
403,buaa,nir,data/BUAA/BUAAVISNIR/72/4.bmp,4.bmp,buaa-72-4.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,72,tilt,,jpg,test
405,buaa,nir,data/BUAA/BUAAVISNIR/72/6.bmp,6.bmp,buaa-72-6.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,72,tilt,,jpg,test
407,buaa,nir,data/BUAA/BUAAVISNIR/72/8.bmp,8.bmp,buaa-72-8.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,72,tilt,,jpg,test
409,buaa,nir,data/BUAA/BUAAVISNIR/72/10.bmp,10.bmp,buaa-72-10.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,72,tilt,,jpg,test
411,buaa,nir,data/BUAA/BUAAVISNIR/72/12.bmp,12.bmp,buaa-72-12.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,72,tilt,,jpg,test
413,buaa,nir,data/BUAA/BUAAVISNIR/72/14.bmp,14.bmp,buaa-72-14.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,72,tilt,,jpg,test
415,buaa,nir,data/BUAA/BUAAVISNIR/72/16.bmp,16.bmp,buaa-72-16.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,72,tilt,,jpg,test
417,buaa,nir,data/BUAA/BUAAVISNIR/72/18.bmp,18.bmp,buaa-72-18.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,72,tilt,,jpg,test
419,buaa,nir,data/BUAA/BUAAVISNIR/72/22.bmp,22.bmp,buaa-72-22.jpg,,,bmp,mongo,1.0,0.54,0.18,Happy,,,,72,affection,,jpg,test
421,buaa,nir,data/BUAA/BUAAVISNIR/72/24.bmp,24.bmp,buaa-72-24.jpg,,,bmp,mongo,2.0,-0.66,-0.51,Sad,,,,72,affection,,jpg,test
423,buaa,nir,data/BUAA/BUAAVISNIR/72/26.bmp,26.bmp,buaa-72-26.jpg,,,bmp,mongo,2.0,-0.79,-0.45,Sad,,,,72,affection,,jpg,test
425,buaa,nir,data/BUAA/BUAAVISNIR/72/28.bmp,28.bmp,buaa-72-28.jpg,,,bmp,mongo,2.0,-0.39,-0.26,Sad,,,,72,affection,,jpg,test
441,buaa,nir,data/BUAA/BUAAVISNIR/18/2.bmp,2.bmp,buaa-18-2.jpg,,,bmp,mongo,0.0,-0.03,-0.06,Neutral,,,,18,neutral,,jpg,train
443,buaa,nir,data/BUAA/BUAAVISNIR/18/4.bmp,4.bmp,buaa-18-4.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,,,,18,tilt,,jpg,train
