,db,spectra,filepath,filename,adjusted_unique_filename,oulucasia-patient,oulucasia-emotion,filetype,race,expression,valence,arousal,expression_name
11,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Anger/011.jpeg,011.jpeg,oulucasia-P001-Anger-011.jpeg,P001,Anger,jpeg,cauca,6.0,-0.4214453538491424,0.7662642797257134,Anger
12,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Anger/012.jpeg,012.jpeg,oulucasia-P001-Anger-012.jpeg,P001,Anger,jpeg,cauca,6.0,-0.4260859782952591,0.774701778718653,Anger
13,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Anger/013.jpeg,013.jpeg,oulucasia-P001-Anger-013.jpeg,P001,Anger,jpeg,cauca,6.0,-0.4295659556950887,0.7810290103547068,Anger
14,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Anger/014.jpeg,014.jpeg,oulucasia-P001-Anger-014.jpeg,P001,Anger,jpeg,cauca,6.0,-0.43217557059582873,0.7857737647196886,Anger
15,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Anger/015.jpeg,015.jpeg,oulucasia-P001-Anger-015.jpeg,P001,Anger,jpeg,cauca,6.0,-0.4341325056984814,0.7893318285426935,Anger
16,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Anger/Thumbs.db,Thumbs.db,oulucasia-P001-Anger-Thumbs.db,P001,Anger,db,cauca,6.0,-0.4356,0.792,Anger
17,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Disgust/000.jpeg,000.jpeg,oulucasia-P001-Disgust-000.jpeg,P001,Disgust,jpeg,cauca,0.0,0.0,0.0,Neutral
18,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Disgust/001.jpeg,001.jpeg,oulucasia-P001-Disgust-001.jpeg,P001,Disgust,jpeg,cauca,0.0,0.0,0.0,Neutral
19,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Disgust/002.jpeg,002.jpeg,oulucasia-P001-Disgust-002.jpeg,P001,Disgust,jpeg,cauca,0.0,0.0,0.0,Neutral
20,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Disgust/003.jpeg,003.jpeg,oulucasia-P001-Disgust-003.jpeg,P001,Disgust,jpeg,cauca,0.0,0.0,0.0,Neutral
21,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Disgust/004.jpeg,004.jpeg,oulucasia-P001-Disgust-004.jpeg,P001,Disgust,jpeg,cauca,0.0,0.0,0.0,Neutral
22,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Disgust/005.jpeg,005.jpeg,oulucasia-P001-Disgust-005.jpeg,P001,Disgust,jpeg,cauca,0.0,0.0,0.0,Neutral
23,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Disgust/006.jpeg,006.jpeg,oulucasia-P001-Disgust-006.jpeg,P001,Disgust,jpeg,cauca,0.0,-0.4280760822511417,0.3344344392587044,Neutral
24,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Disgust/007.jpeg,007.jpeg,oulucasia-P001-Disgust-007.jpeg,P001,Disgust,jpeg,cauca,5.0,-0.46372936298635736,0.3622885648330917,Disgust
25,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Disgust/008.jpeg,008.jpeg,oulucasia-P001-Disgust-008.jpeg,P001,Disgust,jpeg,cauca,5.0,-0.4933844702228626,0.38545661736161135,Disgust
26,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Disgust/009.jpeg,009.jpeg,oulucasia-P001-Disgust-009.jpeg,P001,Disgust,jpeg,cauca,5.0,-0.5180505140503522,0.4047269641018376,Disgust
27,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Disgust/010.jpeg,010.jpeg,oulucasia-P001-Disgust-010.jpeg,P001,Disgust,jpeg,cauca,5.0,-0.5385668356824888,0.42075534037694434,Disgust
28,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Disgust/011.jpeg,011.jpeg,oulucasia-P001-Disgust-011.jpeg,P001,Disgust,jpeg,cauca,5.0,-0.55563156873239,0.43408716307217965,Disgust
29,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Disgust/012.jpeg,012.jpeg,oulucasia-P001-Disgust-012.jpeg,P001,Disgust,jpeg,cauca,5.0,-0.5698253954468362,0.44517609019284077,Disgust
30,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Disgust/013.jpeg,013.jpeg,oulucasia-P001-Disgust-013.jpeg,P001,Disgust,jpeg,cauca,5.0,-0.5816313062812218,0.4543994580322045,Disgust
31,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Disgust/014.jpeg,014.jpeg,oulucasia-P001-Disgust-014.jpeg,P001,Disgust,jpeg,cauca,5.0,-0.5914510351981322,0.46207112124854083,Disgust
32,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Disgust/015.jpeg,015.jpeg,oulucasia-P001-Disgust-015.jpeg,P001,Disgust,jpeg,cauca,5.0,-0.5996187299532676,0.46845213277599035,Disgust
33,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Disgust/016.jpeg,016.jpeg,oulucasia-P001-Disgust-016.jpeg,P001,Disgust,jpeg,cauca,5.0,-0.6064123225440146,0.4737596269875114,Disgust
34,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Disgust/017.jpeg,017.jpeg,oulucasia-P001-Disgust-017.jpeg,P001,Disgust,jpeg,cauca,5.0,-0.6120629867366294,0.4781742083879917,Disgust
35,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Disgust/018.jpeg,018.jpeg,oulucasia-P001-Disgust-018.jpeg,P001,Disgust,jpeg,cauca,5.0,-0.6167630044947136,0.4818460972614949,Disgust
36,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Disgust/019.jpeg,019.jpeg,oulucasia-P001-Disgust-019.jpeg,P001,Disgust,jpeg,cauca,5.0,-0.6206723089894272,0.48490024139798993,Disgust
37,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Disgust/020.jpeg,020.jpeg,oulucasia-P001-Disgust-020.jpeg,P001,Disgust,jpeg,cauca,5.0,-0.6239239268383387,0.4874405678424521,Disgust
38,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Disgust/021.jpeg,021.jpeg,oulucasia-P001-Disgust-021.jpeg,P001,Disgust,jpeg,cauca,5.0,-0.6266285047625342,0.4895535193457298,Disgust
39,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Disgust/022.jpeg,022.jpeg,oulucasia-P001-Disgust-022.jpeg,P001,Disgust,jpeg,cauca,5.0,-0.628878074696004,0.4913109958562531,Disgust
40,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Disgust/023.jpeg,023.jpeg,oulucasia-P001-Disgust-023.jpeg,P001,Disgust,jpeg,cauca,5.0,-0.630749185467226,0.49277280114627037,Disgust
41,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Disgust/024.jpeg,024.jpeg,oulucasia-P001-Disgust-024.jpeg,P001,Disgust,jpeg,cauca,5.0,-0.6323055076184486,0.4939886778269129,Disgust
42,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Disgust/025.jpeg,025.jpeg,oulucasia-P001-Disgust-025.jpeg,P001,Disgust,jpeg,cauca,5.0,-0.6336,0.495,Disgust
43,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Fear/000.jpeg,000.jpeg,oulucasia-P001-Fear-000.jpeg,P001,Fear,jpeg,cauca,0.0,0.0,0.0,Neutral
44,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Fear/001.jpeg,001.jpeg,oulucasia-P001-Fear-001.jpeg,P001,Fear,jpeg,cauca,0.0,0.0,0.0,Neutral
45,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Fear/002.jpeg,002.jpeg,oulucasia-P001-Fear-002.jpeg,P001,Fear,jpeg,cauca,0.0,0.0,0.0,Neutral
46,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Fear/003.jpeg,003.jpeg,oulucasia-P001-Fear-003.jpeg,P001,Fear,jpeg,cauca,0.0,0.0,0.0,Neutral
47,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Fear/004.jpeg,004.jpeg,oulucasia-P001-Fear-004.jpeg,P001,Fear,jpeg,cauca,0.0,0.0,0.0,Neutral
48,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Fear/005.jpeg,005.jpeg,oulucasia-P001-Fear-005.jpeg,P001,Fear,jpeg,cauca,0.0,0.0,0.0,Neutral
49,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Fear/006.jpeg,006.jpeg,oulucasia-P001-Fear-006.jpeg,P001,Fear,jpeg,cauca,0.0,-0.06544892705407782,0.5235914164326225,Neutral
50,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Fear/007.jpeg,007.jpeg,oulucasia-P001-Fear-007.jpeg,P001,Fear,jpeg,cauca,4.0,-0.0710573387528325,0.56845871002266,Fear
51,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Fear/008.jpeg,008.jpeg,oulucasia-P001-Fear-008.jpeg,P001,Fear,jpeg,cauca,4.0,-0.07575537982917672,0.6060430386334138,Fear
52,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Fear/009.jpeg,009.jpeg,oulucasia-P001-Fear-009.jpeg,P001,Fear,jpeg,cauca,4.0,-0.07969082379095264,0.6375265903276212,Fear
53,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Fear/010.jpeg,010.jpeg,oulucasia-P001-Fear-010.jpeg,P001,Fear,jpeg,cauca,4.0,-0.08298745720147412,0.6638996576117929,Fear
54,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Fear/011.jpeg,011.jpeg,oulucasia-P001-Fear-011.jpeg,P001,Fear,jpeg,cauca,4.0,-0.08574897329697002,0.6859917863757602,Fear
55,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Fear/012.jpeg,012.jpeg,oulucasia-P001-Fear-012.jpeg,P001,Fear,jpeg,cauca,4.0,-0.08806223358285564,0.7044978686628451,Fear
56,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Fear/013.jpeg,013.jpeg,oulucasia-P001-Fear-013.jpeg,P001,Fear,jpeg,cauca,4.0,-0.09,0.72,Fear
57,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Fear/014.jpeg,014.jpeg,oulucasia-P001-Fear-014.jpeg,P001,Fear,jpeg,cauca,4.0,-0.09162322359931709,0.7329857887945367,Fear
58,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Fear/015.jpeg,015.jpeg,oulucasia-P001-Fear-015.jpeg,P001,Fear,jpeg,cauca,4.0,-0.09298296171329617,0.7438636937063694,Fear
59,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Fear/016.jpeg,016.jpeg,oulucasia-P001-Fear-016.jpeg,P001,Fear,jpeg,cauca,4.0,-0.0941219839277251,0.7529758714218008,Fear
60,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Fear/017.jpeg,017.jpeg,oulucasia-P001-Fear-017.jpeg,P001,Fear,jpeg,cauca,4.0,-0.09507611736829327,0.7606089389463462,Fear
61,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Fear/018.jpeg,018.jpeg,oulucasia-P001-Fear-018.jpeg,P001,Fear,jpeg,cauca,4.0,-0.09587537361709865,0.7670029889367892,Fear
62,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Fear/019.jpeg,019.jpeg,oulucasia-P001-Fear-019.jpeg,P001,Fear,jpeg,cauca,4.0,-0.09654489270540778,0.7723591416432622,Fear
63,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Fear/020.jpeg,020.jpeg,oulucasia-P001-Fear-020.jpeg,P001,Fear,jpeg,cauca,4.0,-0.09710573387528326,0.7768458710022661,Fear
64,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Fear/021.jpeg,021.jpeg,oulucasia-P001-Fear-021.jpeg,P001,Fear,jpeg,cauca,4.0,-0.09757553798291768,0.7806043038633415,Fear
65,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Fear/022.jpeg,022.jpeg,oulucasia-P001-Fear-022.jpeg,P001,Fear,jpeg,cauca,4.0,-0.09796908237909527,0.7837526590327621,Fear
66,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Fear/023.jpeg,023.jpeg,oulucasia-P001-Fear-023.jpeg,P001,Fear,jpeg,cauca,4.0,-0.09829874572014742,0.7863899657611794,Fear
67,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Fear/024.jpeg,024.jpeg,oulucasia-P001-Fear-024.jpeg,P001,Fear,jpeg,cauca,4.0,-0.09857489732969701,0.7885991786375761,Fear
68,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Fear/025.jpeg,025.jpeg,oulucasia-P001-Fear-025.jpeg,P001,Fear,jpeg,cauca,4.0,-0.09880622335828557,0.7904497868662845,Fear
69,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Fear/026.jpeg,026.jpeg,oulucasia-P001-Fear-026.jpeg,P001,Fear,jpeg,cauca,4.0,-0.099,0.792,Fear
70,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Happiness/000.jpeg,000.jpeg,oulucasia-P001-Happiness-000.jpeg,P001,Happiness,jpeg,cauca,0.0,0.0,0.0,Neutral
71,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Happiness/001.jpeg,001.jpeg,oulucasia-P001-Happiness-001.jpeg,P001,Happiness,jpeg,cauca,0.0,0.0,0.0,Neutral
72,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Happiness/002.jpeg,002.jpeg,oulucasia-P001-Happiness-002.jpeg,P001,Happiness,jpeg,cauca,0.0,0.0,0.0,Neutral
73,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Happiness/003.jpeg,003.jpeg,oulucasia-P001-Happiness-003.jpeg,P001,Happiness,jpeg,cauca,0.0,0.0,0.0,Neutral
74,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Happiness/004.jpeg,004.jpeg,oulucasia-P001-Happiness-004.jpeg,P001,Happiness,jpeg,cauca,0.0,0.0,0.0,Neutral
75,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Happiness/005.jpeg,005.jpeg,oulucasia-P001-Happiness-005.jpeg,P001,Happiness,jpeg,cauca,0.0,0.0,0.0,Neutral
76,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Happiness/006.jpeg,006.jpeg,oulucasia-P001-Happiness-006.jpeg,P001,Happiness,jpeg,cauca,0.0,0.0,0.0,Neutral
77,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Happiness/007.jpeg,007.jpeg,oulucasia-P001-Happiness-007.jpeg,P001,Happiness,jpeg,cauca,0.0,0.6058615036073087,0.09878176689249597,Neutral
78,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Happiness/008.jpeg,008.jpeg,oulucasia-P001-Happiness-008.jpeg,P001,Happiness,jpeg,cauca,1.0,0.6505647000544783,0.10607033153062145,Happy
79,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Happiness/009.jpeg,009.jpeg,oulucasia-P001-Happiness-009.jpeg,P001,Happiness,jpeg,cauca,1.0,0.6889064483011187,0.11232170352735629,Happy
80,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Happiness/010.jpeg,010.jpeg,oulucasia-P001-Happiness-010.jpeg,P001,Happiness,jpeg,cauca,1.0,0.7217920085170667,0.11768347964952174,Happy
81,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Happiness/011.jpeg,011.jpeg,oulucasia-P001-Happiness-011.jpeg,P001,Happiness,jpeg,cauca,1.0,0.7499978186371492,0.12228225303866563,Happy
82,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Happiness/012.jpeg,012.jpeg,oulucasia-P001-Happiness-012.jpeg,P001,Happiness,jpeg,cauca,1.0,0.7741898262935776,0.12622660211308329,Happy
83,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Happiness/013.jpeg,013.jpeg,oulucasia-P001-Happiness-013.jpeg,P001,Happiness,jpeg,cauca,1.0,0.7949392120391757,0.1296096541368221,Happy
84,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Happiness/014.jpeg,014.jpeg,oulucasia-P001-Happiness-014.jpeg,P001,Happiness,jpeg,cauca,1.0,0.8127358750914555,0.13251128398230252,Happy
85,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Happiness/015.jpeg,015.jpeg,oulucasia-P001-Happiness-015.jpeg,P001,Happiness,jpeg,cauca,1.0,0.8280000000000001,0.135,Happy
86,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Happiness/016.jpeg,016.jpeg,oulucasia-P001-Happiness-016.jpeg,P001,Happiness,jpeg,cauca,1.0,0.8410919773296378,0.1371345615211366,Happy
87,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Happiness/017.jpeg,017.jpeg,oulucasia-P001-Happiness-017.jpeg,P001,Happiness,jpeg,cauca,1.0,0.852320912589713,0.13896536618310537,Happy
88,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Happiness/018.jpeg,018.jpeg,oulucasia-P001-Happiness-018.jpeg,P001,Happiness,jpeg,cauca,1.0,0.8619519243078223,0.1405356398327971,Happy
89,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Happiness/019.jpeg,019.jpeg,oulucasia-P001-Happiness-019.jpeg,P001,Happiness,jpeg,cauca,1.0,0.8702124035577253,0.14188245710180303,Happy
90,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Happiness/020.jpeg,020.jpeg,oulucasia-P001-Happiness-020.jpeg,P001,Happiness,jpeg,cauca,1.0,0.8772973827307624,0.14303761674958082,Happy
91,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Happiness/021.jpeg,021.jpeg,oulucasia-P001-Happiness-021.jpeg,P001,Happiness,jpeg,cauca,1.0,0.8833741403090782,0.14402839244169754,Happy
92,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Happiness/022.jpeg,022.jpeg,oulucasia-P001-Happiness-022.jpeg,P001,Happiness,jpeg,cauca,1.0,0.8885861503607309,0.1448781766892496,Happy
93,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Happiness/023.jpeg,023.jpeg,oulucasia-P001-Happiness-023.jpeg,P001,Happiness,jpeg,cauca,1.0,0.8930564700054479,0.14560703315306214,Happy
94,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Happiness/024.jpeg,024.jpeg,oulucasia-P001-Happiness-024.jpeg,P001,Happiness,jpeg,cauca,1.0,0.8968906448301119,0.1462321703527356,Happy
95,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Happiness/025.jpeg,025.jpeg,oulucasia-P001-Happiness-025.jpeg,P001,Happiness,jpeg,cauca,1.0,0.9001792008517067,0.14676834796495217,Happy
96,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Happiness/026.jpeg,026.jpeg,oulucasia-P001-Happiness-026.jpeg,P001,Happiness,jpeg,cauca,1.0,0.902999781863715,0.14722822530386656,Happy
97,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Happiness/027.jpeg,027.jpeg,oulucasia-P001-Happiness-027.jpeg,P001,Happiness,jpeg,cauca,1.0,0.9054189826293578,0.14762266021130832,Happy
98,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Happiness/028.jpeg,028.jpeg,oulucasia-P001-Happiness-028.jpeg,P001,Happiness,jpeg,cauca,1.0,0.9074939212039176,0.1479609654136822,Happy
99,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Happiness/029.jpeg,029.jpeg,oulucasia-P001-Happiness-029.jpeg,P001,Happiness,jpeg,cauca,1.0,0.9092735875091456,0.14825112839823024,Happy
100,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Happiness/030.jpeg,030.jpeg,oulucasia-P001-Happiness-030.jpeg,P001,Happiness,jpeg,cauca,1.0,0.9108,0.1485,Happy
101,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Sadness/000.jpeg,000.jpeg,oulucasia-P001-Sadness-000.jpeg,P001,Sadness,jpeg,cauca,0.0,0.0,0.0,Neutral
102,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Sadness/001.jpeg,001.jpeg,oulucasia-P001-Sadness-001.jpeg,P001,Sadness,jpeg,cauca,0.0,0.0,0.0,Neutral
103,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Sadness/002.jpeg,002.jpeg,oulucasia-P001-Sadness-002.jpeg,P001,Sadness,jpeg,cauca,0.0,0.0,0.0,Neutral
104,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Sadness/003.jpeg,003.jpeg,oulucasia-P001-Sadness-003.jpeg,P001,Sadness,jpeg,cauca,0.0,0.0,0.0,Neutral
105,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Sadness/004.jpeg,004.jpeg,oulucasia-P001-Sadness-004.jpeg,P001,Sadness,jpeg,cauca,0.0,0.0,0.0,Neutral
106,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Sadness/005.jpeg,005.jpeg,oulucasia-P001-Sadness-005.jpeg,P001,Sadness,jpeg,cauca,2.0,-0.5899864789029692,-0.2809459423347473,Sad
107,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Sadness/006.jpeg,006.jpeg,oulucasia-P001-Sadness-006.jpeg,P001,Sadness,jpeg,cauca,2.0,-0.6437993965964297,-0.3065711412363951,Sad
108,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Sadness/007.jpeg,007.jpeg,oulucasia-P001-Sadness-007.jpeg,P001,Sadness,jpeg,cauca,2.0,-0.6860296202900753,-0.32668077156670255,Sad
109,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Sadness/008.jpeg,008.jpeg,oulucasia-P001-Sadness-008.jpeg,P001,Sadness,jpeg,cauca,2.0,-0.7191702093838364,-0.3424620044684935,Sad
110,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Sadness/009.jpeg,009.jpeg,oulucasia-P001-Sadness-009.jpeg,P001,Sadness,jpeg,cauca,2.0,-0.7451776170984861,-0.35484648433261246,Sad
111,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Sadness/010.jpeg,010.jpeg,oulucasia-P001-Sadness-010.jpeg,P001,Sadness,jpeg,cauca,2.0,-0.765587189605553,-0.36456532838359673,Sad
112,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Sadness/011.jpeg,011.jpeg,oulucasia-P001-Sadness-011.jpeg,P001,Sadness,jpeg,cauca,2.0,-0.7816038051210848,-0.3721922881528976,Sad
113,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Sadness/012.jpeg,012.jpeg,oulucasia-P001-Sadness-012.jpeg,P001,Sadness,jpeg,cauca,2.0,-0.7941730038381845,-0.3781776208753259,Sad
114,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Sadness/013.jpeg,013.jpeg,oulucasia-P001-Sadness-013.jpeg,P001,Sadness,jpeg,cauca,2.0,-0.804036807850757,-0.38287467040512246,Sad
115,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Sadness/014.jpeg,014.jpeg,oulucasia-P001-Sadness-014.jpeg,P001,Sadness,jpeg,cauca,2.0,-0.8117775263952162,-0.38656072685486487,Sad
116,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Sadness/015.jpeg,015.jpeg,oulucasia-P001-Sadness-015.jpeg,P001,Sadness,jpeg,cauca,2.0,-0.8178521324506649,-0.3894533964050786,Sad
117,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Sadness/016.jpeg,016.jpeg,oulucasia-P001-Sadness-016.jpeg,P001,Sadness,jpeg,cauca,2.0,-0.8226192401186357,-0.39172344767554085,Sad
118,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Sadness/017.jpeg,017.jpeg,oulucasia-P001-Sadness-017.jpeg,P001,Sadness,jpeg,cauca,2.0,-0.8263602753908147,-0.39350489304324515,Sad
119,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Sadness/018.jpeg,018.jpeg,oulucasia-P001-Sadness-018.jpeg,P001,Sadness,jpeg,cauca,2.0,-0.8292960901200936,-0.3949029000571875,Sad
120,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Sadness/019.jpeg,019.jpeg,oulucasia-P001-Sadness-019.jpeg,P001,Sadness,jpeg,cauca,2.0,-0.8316,-0.396,Sad
121,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Surprise/000.jpeg,000.jpeg,oulucasia-P001-Surprise-000.jpeg,P001,Surprise,jpeg,cauca,0.0,0.0,0.0,Neutral
122,oulucasia,nir,data/B_OriginalImg/NI/Strong/P001/Surprise/001.jpeg,001.jpeg,oulucasia-P001-Surprise-001.jpeg,P001,Surprise,jpeg,cauca,0.0,0.0,0.0,Neutral
