,Unnamed: 0.2,Unnamed: 0.1,filepath,Unnamed: 0,db,spectra,filename,adjusted_unique_filename,oulucasia-patient,oulucasia-emotion,filetype,race,expression,valence,arousal,expression_name,buaa-patient,buaa-image_type,customdb-patient,new_filetype,split
16,16,16,data/BUAA/BUAAVISNIR/112/22.bmp,139,buaa,nir,22.bmp,buaa-112-22.jpg,,,bmp,mongo,1.0,0.44,0.2,Happy,112.0,affection,,jpg,train
17,17,17,data/BUAA/BUAAVISNIR/112/24.bmp,141,buaa,nir,24.bmp,buaa-112-24.jpg,,,bmp,mongo,2.0,-0.52,-0.07,Sad,112.0,affection,,jpg,train
18,18,18,data/BUAA/BUAAVISNIR/112/26.bmp,143,buaa,nir,26.bmp,buaa-112-26.jpg,,,bmp,mongo,0.0,0.01,-0.02,Neutral,112.0,affection,,jpg,train
19,19,19,data/BUAA/BUAAVISNIR/112/28.bmp,145,buaa,nir,28.bmp,buaa-112-28.jpg,,,bmp,mongo,3.0,0.07,0.9,Surprise,112.0,affection,,jpg,train
20,20,20,data/BUAA/BUAAVISNIR/94/2.bmp,161,buaa,nir,2.bmp,buaa-94-2.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,94.0,neutral,,jpg,train
21,21,21,data/BUAA/BUAAVISNIR/94/22.bmp,179,buaa,nir,22.bmp,buaa-94-22.jpg,,,bmp,mongo,1.0,0.88,0.34,Happy,94.0,affection,,jpg,train
22,22,22,data/BUAA/BUAAVISNIR/94/24.bmp,181,buaa,nir,24.bmp,buaa-94-24.jpg,,,bmp,mongo,6.0,-0.76,0.2,Anger,94.0,affection,,jpg,train
23,23,23,data/BUAA/BUAAVISNIR/94/26.bmp,183,buaa,nir,26.bmp,buaa-94-26.jpg,,,bmp,mongo,2.0,-0.8,-0.47,Sad,94.0,affection,,jpg,train
24,24,24,data/BUAA/BUAAVISNIR/94/28.bmp,185,buaa,nir,28.bmp,buaa-94-28.jpg,,,bmp,mongo,4.0,-0.14,0.78,Fear,94.0,affection,,jpg,train
25,25,25,data/BUAA/BUAAVISNIR/3/2.bmp,201,buaa,nir,2.bmp,buaa-3-2.jpg,,,bmp,mongo,0.0,0.01,0.0,Neutral,3.0,neutral,,jpg,train
26,26,26,data/BUAA/BUAAVISNIR/3/22.bmp,219,buaa,nir,22.bmp,buaa-3-22.jpg,,,bmp,mongo,1.0,0.51,0.34,Happy,3.0,affection,,jpg,train
27,27,27,data/BUAA/BUAAVISNIR/3/24.bmp,221,buaa,nir,24.bmp,buaa-3-24.jpg,,,bmp,mongo,6.0,-0.4,0.77,Anger,3.0,affection,,jpg,train
28,28,28,data/BUAA/BUAAVISNIR/3/26.bmp,223,buaa,nir,26.bmp,buaa-3-26.jpg,,,bmp,mongo,1.0,0.47,0.22,Happy,3.0,affection,,jpg,train
29,29,29,data/BUAA/BUAAVISNIR/3/28.bmp,225,buaa,nir,28.bmp,buaa-3-28.jpg,,,bmp,mongo,3.0,0.52,0.37,Surprise,3.0,affection,,jpg,train
30,30,30,data/BUAA/BUAAVISNIR/122/2.bmp,241,buaa,nir,2.bmp,buaa-122-2.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,122.0,neutral,,jpg,train
31,31,31,data/BUAA/BUAAVISNIR/122/22.bmp,259,buaa,nir,22.bmp,buaa-122-22.jpg,,,bmp,mongo,1.0,0.42,0.13,Happy,122.0,affection,,jpg,train
32,32,32,data/BUAA/BUAAVISNIR/122/24.bmp,261,buaa,nir,24.bmp,buaa-122-24.jpg,,,bmp,mongo,2.0,-0.11,-0.34,Sad,122.0,affection,,jpg,train
33,33,33,data/BUAA/BUAAVISNIR/122/26.bmp,263,buaa,nir,26.bmp,buaa-122-26.jpg,,,bmp,mongo,2.0,-0.82,-0.42,Sad,122.0,affection,,jpg,train
34,34,34,data/BUAA/BUAAVISNIR/122/28.bmp,265,buaa,nir,28.bmp,buaa-122-28.jpg,,,bmp,mongo,4.0,-0.03,0.92,Fear,122.0,affection,,jpg,train
35,35,35,data/BUAA/BUAAVISNIR/60/2.bmp,281,buaa,nir,2.bmp,buaa-60-2.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,60.0,neutral,,jpg,train
36,36,36,data/BUAA/BUAAVISNIR/60/22.bmp,299,buaa,nir,22.bmp,buaa-60-22.jpg,,,bmp,mongo,1.0,0.95,0.14,Happy,60.0,affection,,jpg,train
37,37,37,data/BUAA/BUAAVISNIR/60/24.bmp,301,buaa,nir,24.bmp,buaa-60-24.jpg,,,bmp,mongo,4.0,-0.07,0.77,Fear,60.0,affection,,jpg,train
38,38,38,data/BUAA/BUAAVISNIR/60/26.bmp,303,buaa,nir,26.bmp,buaa-60-26.jpg,,,bmp,mongo,1.0,0.38,-0.12,Happy,60.0,affection,,jpg,train
39,39,39,data/BUAA/BUAAVISNIR/60/28.bmp,305,buaa,nir,28.bmp,buaa-60-28.jpg,,,bmp,mongo,3.0,0.19,0.9,Surprise,60.0,affection,,jpg,train
40,40,40,data/BUAA/BUAAVISNIR/108/2.bmp,321,buaa,nir,2.bmp,buaa-108-2.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,108.0,neutral,,jpg,train
41,41,41,data/BUAA/BUAAVISNIR/108/22.bmp,339,buaa,nir,22.bmp,buaa-108-22.jpg,,,bmp,mongo,1.0,0.87,0.09,Happy,108.0,affection,,jpg,train
42,42,42,data/BUAA/BUAAVISNIR/108/24.bmp,341,buaa,nir,24.bmp,buaa-108-24.jpg,,,bmp,mongo,1.0,0.83,-0.06,Happy,108.0,affection,,jpg,train
43,43,43,data/BUAA/BUAAVISNIR/108/26.bmp,343,buaa,nir,26.bmp,buaa-108-26.jpg,,,bmp,mongo,1.0,0.87,-0.11,Happy,108.0,affection,,jpg,train
44,44,44,data/BUAA/BUAAVISNIR/108/28.bmp,345,buaa,nir,28.bmp,buaa-108-28.jpg,,,bmp,mongo,1.0,0.53,0.35,Happy,108.0,affection,,jpg,train
45,45,45,data/BUAA/BUAAVISNIR/144/2.bmp,361,buaa,nir,2.bmp,buaa-144-2.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,144.0,neutral,,jpg,train
46,46,46,data/BUAA/BUAAVISNIR/144/22.bmp,379,buaa,nir,22.bmp,buaa-144-22.jpg,,,bmp,mongo,1.0,0.44,0.14,Happy,144.0,affection,,jpg,train
47,47,47,data/BUAA/BUAAVISNIR/144/24.bmp,381,buaa,nir,24.bmp,buaa-144-24.jpg,,,bmp,mongo,2.0,-0.4,-0.14,Sad,144.0,affection,,jpg,train
48,48,48,data/BUAA/BUAAVISNIR/144/26.bmp,383,buaa,nir,26.bmp,buaa-144-26.jpg,,,bmp,mongo,5.0,-0.68,0.47,Disgust,144.0,affection,,jpg,train
49,49,49,data/BUAA/BUAAVISNIR/144/28.bmp,385,buaa,nir,28.bmp,buaa-144-28.jpg,,,bmp,mongo,3.0,0.06,0.89,Surprise,144.0,affection,,jpg,train
50,50,50,data/BUAA/BUAAVISNIR/72/2.bmp,401,buaa,nir,2.bmp,buaa-72-2.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,72.0,neutral,,jpg,train
51,51,51,data/BUAA/BUAAVISNIR/72/22.bmp,419,buaa,nir,22.bmp,buaa-72-22.jpg,,,bmp,mongo,1.0,0.54,0.18,Happy,72.0,affection,,jpg,train
52,52,52,data/BUAA/BUAAVISNIR/72/24.bmp,421,buaa,nir,24.bmp,buaa-72-24.jpg,,,bmp,mongo,2.0,-0.66,-0.51,Sad,72.0,affection,,jpg,train
53,53,53,data/BUAA/BUAAVISNIR/72/26.bmp,423,buaa,nir,26.bmp,buaa-72-26.jpg,,,bmp,mongo,2.0,-0.79,-0.45,Sad,72.0,affection,,jpg,train
54,54,54,data/BUAA/BUAAVISNIR/72/28.bmp,425,buaa,nir,28.bmp,buaa-72-28.jpg,,,bmp,mongo,2.0,-0.39,-0.26,Sad,72.0,affection,,jpg,train
55,55,55,data/BUAA/BUAAVISNIR/18/2.bmp,441,buaa,nir,2.bmp,buaa-18-2.jpg,,,bmp,mongo,0.0,-0.03,-0.06,Neutral,18.0,neutral,,jpg,train
56,56,56,data/BUAA/BUAAVISNIR/18/22.bmp,459,buaa,nir,22.bmp,buaa-18-22.jpg,,,bmp,mongo,1.0,0.89,-0.05,Happy,18.0,affection,,jpg,train
57,57,57,data/BUAA/BUAAVISNIR/18/24.bmp,461,buaa,nir,24.bmp,buaa-18-24.jpg,,,bmp,mongo,6.0,-0.19,0.54,Anger,18.0,affection,,jpg,train
58,58,58,data/BUAA/BUAAVISNIR/18/26.bmp,463,buaa,nir,26.bmp,buaa-18-26.jpg,,,bmp,mongo,7.0,0.18,0.6,Contempt,18.0,affection,,jpg,train
59,59,59,data/BUAA/BUAAVISNIR/18/28.bmp,465,buaa,nir,28.bmp,buaa-18-28.jpg,,,bmp,mongo,0.0,0.16,0.1,Neutral,18.0,affection,,jpg,train
60,60,60,data/BUAA/BUAAVISNIR/22/2.bmp,481,buaa,nir,2.bmp,buaa-22-2.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,22.0,neutral,,jpg,train
61,61,61,data/BUAA/BUAAVISNIR/22/22.bmp,499,buaa,nir,22.bmp,buaa-22-22.jpg,,,bmp,mongo,1.0,0.53,0.32,Happy,22.0,affection,,jpg,train
62,62,62,data/BUAA/BUAAVISNIR/22/24.bmp,501,buaa,nir,24.bmp,buaa-22-24.jpg,,,bmp,mongo,2.0,-0.84,-0.42,Sad,22.0,affection,,jpg,train
63,63,63,data/BUAA/BUAAVISNIR/22/26.bmp,503,buaa,nir,26.bmp,buaa-22-26.jpg,,,bmp,mongo,2.0,-0.76,-0.31,Sad,22.0,affection,,jpg,train
64,64,64,data/BUAA/BUAAVISNIR/22/28.bmp,505,buaa,nir,28.bmp,buaa-22-28.jpg,,,bmp,mongo,2.0,-0.11,-0.33,Sad,22.0,affection,,jpg,train
65,65,65,data/BUAA/BUAAVISNIR/78/2.bmp,521,buaa,nir,2.bmp,buaa-78-2.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,78.0,neutral,,jpg,train
66,66,66,data/BUAA/BUAAVISNIR/78/22.bmp,539,buaa,nir,22.bmp,buaa-78-22.jpg,,,bmp,mongo,1.0,1.0,0.16,Happy,78.0,affection,,jpg,train
67,67,67,data/BUAA/BUAAVISNIR/78/24.bmp,541,buaa,nir,24.bmp,buaa-78-24.jpg,,,bmp,mongo,2.0,-0.57,-0.15,Sad,78.0,affection,,jpg,train
68,68,68,data/BUAA/BUAAVISNIR/78/26.bmp,543,buaa,nir,26.bmp,buaa-78-26.jpg,,,bmp,mongo,1.0,0.89,-0.09,Happy,78.0,affection,,jpg,train
69,69,69,data/BUAA/BUAAVISNIR/78/28.bmp,545,buaa,nir,28.bmp,buaa-78-28.jpg,,,bmp,mongo,4.0,-0.17,0.76,Fear,78.0,affection,,jpg,train
70,70,70,data/BUAA/BUAAVISNIR/71/2.bmp,561,buaa,nir,2.bmp,buaa-71-2.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,71.0,neutral,,jpg,train
71,71,71,data/BUAA/BUAAVISNIR/71/22.bmp,579,buaa,nir,22.bmp,buaa-71-22.jpg,,,bmp,mongo,1.0,0.89,0.17,Happy,71.0,affection,,jpg,train
72,72,72,data/BUAA/BUAAVISNIR/71/24.bmp,581,buaa,nir,24.bmp,buaa-71-24.jpg,,,bmp,mongo,1.0,0.93,-0.06,Happy,71.0,affection,,jpg,train
73,73,73,data/BUAA/BUAAVISNIR/71/26.bmp,583,buaa,nir,26.bmp,buaa-71-26.jpg,,,bmp,mongo,2.0,-0.18,-0.14,Sad,71.0,affection,,jpg,train
74,74,74,data/BUAA/BUAAVISNIR/71/28.bmp,585,buaa,nir,28.bmp,buaa-71-28.jpg,,,bmp,mongo,3.0,0.41,0.87,Surprise,71.0,affection,,jpg,train
75,75,75,data/BUAA/BUAAVISNIR/121/2.bmp,601,buaa,nir,2.bmp,buaa-121-2.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,121.0,neutral,,jpg,train
76,76,76,data/BUAA/BUAAVISNIR/121/22.bmp,619,buaa,nir,22.bmp,buaa-121-22.jpg,,,bmp,mongo,1.0,0.62,0.36,Happy,121.0,affection,,jpg,train
77,77,77,data/BUAA/BUAAVISNIR/121/24.bmp,621,buaa,nir,24.bmp,buaa-121-24.jpg,,,bmp,mongo,1.0,0.77,-0.59,Happy,121.0,affection,,jpg,train
78,78,78,data/BUAA/BUAAVISNIR/121/26.bmp,623,buaa,nir,26.bmp,buaa-121-26.jpg,,,bmp,mongo,1.0,0.37,0.03,Happy,121.0,affection,,jpg,train
79,79,79,data/BUAA/BUAAVISNIR/121/28.bmp,625,buaa,nir,28.bmp,buaa-121-28.jpg,,,bmp,mongo,3.0,0.36,0.85,Surprise,121.0,affection,,jpg,train
80,80,80,data/BUAA/BUAAVISNIR/81/2.bmp,641,buaa,nir,2.bmp,buaa-81-2.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,81.0,neutral,,jpg,val
81,81,81,data/BUAA/BUAAVISNIR/81/22.bmp,659,buaa,nir,22.bmp,buaa-81-22.jpg,,,bmp,mongo,1.0,0.65,0.3,Happy,81.0,affection,,jpg,val
82,82,82,data/BUAA/BUAAVISNIR/81/24.bmp,661,buaa,nir,24.bmp,buaa-81-24.jpg,,,bmp,mongo,6.0,-0.33,0.75,Anger,81.0,affection,,jpg,val
83,83,83,data/BUAA/BUAAVISNIR/81/26.bmp,663,buaa,nir,26.bmp,buaa-81-26.jpg,,,bmp,mongo,2.0,-0.48,0.05,Sad,81.0,affection,,jpg,val
84,84,84,data/BUAA/BUAAVISNIR/81/28.bmp,665,buaa,nir,28.bmp,buaa-81-28.jpg,,,bmp,mongo,1.0,0.61,0.36,Happy,81.0,affection,,jpg,val
85,85,85,data/BUAA/BUAAVISNIR/32/2.bmp,681,buaa,nir,2.bmp,buaa-32-2.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,32.0,neutral,,jpg,train
86,86,86,data/BUAA/BUAAVISNIR/32/22.bmp,699,buaa,nir,22.bmp,buaa-32-22.jpg,,,bmp,mongo,1.0,0.14,0.25,Happy,32.0,affection,,jpg,train
87,87,87,data/BUAA/BUAAVISNIR/32/24.bmp,701,buaa,nir,24.bmp,buaa-32-24.jpg,,,bmp,mongo,6.0,-0.44,0.78,Anger,32.0,affection,,jpg,train
88,88,88,data/BUAA/BUAAVISNIR/32/26.bmp,703,buaa,nir,26.bmp,buaa-32-26.jpg,,,bmp,mongo,0.0,0.05,-0.61,Neutral,32.0,affection,,jpg,train
89,89,89,data/BUAA/BUAAVISNIR/32/28.bmp,705,buaa,nir,28.bmp,buaa-32-28.jpg,,,bmp,mongo,4.0,-0.9,0.05,Fear,32.0,affection,,jpg,train
90,90,90,data/BUAA/BUAAVISNIR/34/2.bmp,721,buaa,nir,2.bmp,buaa-34-2.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,34.0,neutral,,jpg,test
91,91,91,data/BUAA/BUAAVISNIR/34/22.bmp,739,buaa,nir,22.bmp,buaa-34-22.jpg,,,bmp,mongo,1.0,0.55,0.19,Happy,34.0,affection,,jpg,test
92,92,92,data/BUAA/BUAAVISNIR/34/24.bmp,741,buaa,nir,24.bmp,buaa-34-24.jpg,,,bmp,mongo,1.0,0.74,-0.31,Happy,34.0,affection,,jpg,test
93,93,93,data/BUAA/BUAAVISNIR/34/26.bmp,743,buaa,nir,26.bmp,buaa-34-26.jpg,,,bmp,mongo,1.0,0.51,-0.53,Happy,34.0,affection,,jpg,test
94,94,94,data/BUAA/BUAAVISNIR/34/28.bmp,745,buaa,nir,28.bmp,buaa-34-28.jpg,,,bmp,mongo,1.0,0.69,0.14,Happy,34.0,affection,,jpg,test
95,95,95,data/BUAA/BUAAVISNIR/47/2.bmp,761,buaa,nir,2.bmp,buaa-47-2.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,47.0,neutral,,jpg,train
96,96,96,data/BUAA/BUAAVISNIR/47/22.bmp,779,buaa,nir,22.bmp,buaa-47-22.jpg,,,bmp,mongo,1.0,0.73,0.16,Happy,47.0,affection,,jpg,train
97,97,97,data/BUAA/BUAAVISNIR/47/24.bmp,781,buaa,nir,24.bmp,buaa-47-24.jpg,,,bmp,mongo,0.0,0.08,-0.6,Neutral,47.0,affection,,jpg,train
98,98,98,data/BUAA/BUAAVISNIR/47/26.bmp,783,buaa,nir,26.bmp,buaa-47-26.jpg,,,bmp,mongo,2.0,-0.14,-0.36,Sad,47.0,affection,,jpg,train
99,99,99,data/BUAA/BUAAVISNIR/47/28.bmp,785,buaa,nir,28.bmp,buaa-47-28.jpg,,,bmp,mongo,4.0,-0.09,0.89,Fear,47.0,affection,,jpg,train
100,100,100,data/BUAA/BUAAVISNIR/40/2.bmp,801,buaa,nir,2.bmp,buaa-40-2.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,40.0,neutral,,jpg,val
101,101,101,data/BUAA/BUAAVISNIR/40/22.bmp,819,buaa,nir,22.bmp,buaa-40-22.jpg,,,bmp,mongo,1.0,0.85,-0.04,Happy,40.0,affection,,jpg,val
102,102,102,data/BUAA/BUAAVISNIR/40/24.bmp,821,buaa,nir,24.bmp,buaa-40-24.jpg,,,bmp,mongo,2.0,-0.21,-0.21,Sad,40.0,affection,,jpg,val
103,103,103,data/BUAA/BUAAVISNIR/40/26.bmp,823,buaa,nir,26.bmp,buaa-40-26.jpg,,,bmp,mongo,2.0,-0.79,-0.05,Sad,40.0,affection,,jpg,val
104,104,104,data/BUAA/BUAAVISNIR/40/28.bmp,825,buaa,nir,28.bmp,buaa-40-28.jpg,,,bmp,mongo,3.0,-0.43,-0.15,Surprise,40.0,affection,,jpg,val
105,105,105,data/BUAA/BUAAVISNIR/35/2.bmp,841,buaa,nir,2.bmp,buaa-35-2.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,35.0,neutral,,jpg,train
106,106,106,data/BUAA/BUAAVISNIR/35/22.bmp,859,buaa,nir,22.bmp,buaa-35-22.jpg,,,bmp,mongo,1.0,0.82,0.36,Happy,35.0,affection,,jpg,train
107,107,107,data/BUAA/BUAAVISNIR/35/24.bmp,861,buaa,nir,24.bmp,buaa-35-24.jpg,,,bmp,mongo,2.0,-0.6,-0.41,Sad,35.0,affection,,jpg,train
108,108,108,data/BUAA/BUAAVISNIR/35/26.bmp,863,buaa,nir,26.bmp,buaa-35-26.jpg,,,bmp,mongo,1.0,0.48,0.19,Happy,35.0,affection,,jpg,train
109,109,109,data/BUAA/BUAAVISNIR/35/28.bmp,865,buaa,nir,28.bmp,buaa-35-28.jpg,,,bmp,mongo,1.0,0.49,0.04,Happy,35.0,affection,,jpg,train
110,110,110,data/BUAA/BUAAVISNIR/46/2.bmp,881,buaa,nir,2.bmp,buaa-46-2.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,46.0,neutral,,jpg,train
111,111,111,data/BUAA/BUAAVISNIR/46/22.bmp,899,buaa,nir,22.bmp,buaa-46-22.jpg,,,bmp,mongo,1.0,0.39,0.15,Happy,46.0,affection,,jpg,train
112,112,112,data/BUAA/BUAAVISNIR/46/24.bmp,901,buaa,nir,24.bmp,buaa-46-24.jpg,,,bmp,mongo,6.0,-0.33,0.25,Anger,46.0,affection,,jpg,train
113,113,113,data/BUAA/BUAAVISNIR/46/26.bmp,903,buaa,nir,26.bmp,buaa-46-26.jpg,,,bmp,mongo,2.0,-0.49,-0.12,Sad,46.0,affection,,jpg,train
114,114,114,data/BUAA/BUAAVISNIR/46/28.bmp,905,buaa,nir,28.bmp,buaa-46-28.jpg,,,bmp,mongo,4.0,-0.39,-0.22,Fear,46.0,affection,,jpg,train
115,115,115,data/BUAA/BUAAVISNIR/130/2.bmp,921,buaa,nir,2.bmp,buaa-130-2.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,130.0,neutral,,jpg,val
116,116,116,data/BUAA/BUAAVISNIR/130/22.bmp,939,buaa,nir,22.bmp,buaa-130-22.jpg,,,bmp,mongo,1.0,0.8,0.15,Happy,130.0,affection,,jpg,val
117,117,117,data/BUAA/BUAAVISNIR/130/24.bmp,941,buaa,nir,24.bmp,buaa-130-24.jpg,,,bmp,mongo,2.0,-0.19,-0.3,Sad,130.0,affection,,jpg,val
118,118,118,data/BUAA/BUAAVISNIR/130/26.bmp,943,buaa,nir,26.bmp,buaa-130-26.jpg,,,bmp,mongo,2.0,-0.81,-0.41,Sad,130.0,affection,,jpg,val
119,119,119,data/BUAA/BUAAVISNIR/130/28.bmp,945,buaa,nir,28.bmp,buaa-130-28.jpg,,,bmp,mongo,3.0,-0.41,-0.22,Surprise,130.0,affection,,jpg,val
120,120,120,data/BUAA/BUAAVISNIR/80/2.bmp,961,buaa,nir,2.bmp,buaa-80-2.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,80.0,neutral,,jpg,test
121,121,121,data/BUAA/BUAAVISNIR/80/22.bmp,979,buaa,nir,22.bmp,buaa-80-22.jpg,,,bmp,mongo,1.0,0.91,-0.08,Happy,80.0,affection,,jpg,test
122,122,122,data/BUAA/BUAAVISNIR/80/24.bmp,981,buaa,nir,24.bmp,buaa-80-24.jpg,,,bmp,mongo,5.0,-0.62,0.57,Disgust,80.0,affection,,jpg,test
123,123,123,data/BUAA/BUAAVISNIR/80/26.bmp,983,buaa,nir,26.bmp,buaa-80-26.jpg,,,bmp,mongo,2.0,-0.72,-0.35,Sad,80.0,affection,,jpg,test
124,124,124,data/BUAA/BUAAVISNIR/80/28.bmp,985,buaa,nir,28.bmp,buaa-80-28.jpg,,,bmp,mongo,3.0,0.41,0.86,Surprise,80.0,affection,,jpg,test
125,125,125,data/BUAA/BUAAVISNIR/73/2.bmp,1001,buaa,nir,2.bmp,buaa-73-2.jpg,,,bmp,mongo,0.0,0.11,-0.13,Neutral,73.0,neutral,,jpg,test
126,126,126,data/BUAA/BUAAVISNIR/73/22.bmp,1019,buaa,nir,22.bmp,buaa-73-22.jpg,,,bmp,mongo,1.0,0.93,0.16,Happy,73.0,affection,,jpg,test
127,127,127,data/BUAA/BUAAVISNIR/73/24.bmp,1021,buaa,nir,24.bmp,buaa-73-24.jpg,,,bmp,mongo,1.0,0.66,0.03,Happy,73.0,affection,,jpg,test
128,128,128,data/BUAA/BUAAVISNIR/73/26.bmp,1023,buaa,nir,26.bmp,buaa-73-26.jpg,,,bmp,mongo,1.0,0.6,0.09,Happy,73.0,affection,,jpg,test
129,129,129,data/BUAA/BUAAVISNIR/73/28.bmp,1025,buaa,nir,28.bmp,buaa-73-28.jpg,,,bmp,mongo,1.0,0.51,0.32,Happy,73.0,affection,,jpg,test
130,130,130,data/BUAA/BUAAVISNIR/89/2.bmp,1041,buaa,nir,2.bmp,buaa-89-2.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,89.0,neutral,,jpg,train
131,131,131,data/BUAA/BUAAVISNIR/89/22.bmp,1059,buaa,nir,22.bmp,buaa-89-22.jpg,,,bmp,mongo,1.0,0.39,0.29,Happy,89.0,affection,,jpg,train
132,132,132,data/BUAA/BUAAVISNIR/89/24.bmp,1061,buaa,nir,24.bmp,buaa-89-24.jpg,,,bmp,mongo,0.0,0.73,-0.65,Neutral,89.0,affection,,jpg,train
133,133,133,data/BUAA/BUAAVISNIR/89/26.bmp,1063,buaa,nir,26.bmp,buaa-89-26.jpg,,,bmp,mongo,7.0,0.17,0.68,Contempt,89.0,affection,,jpg,train
134,134,134,data/BUAA/BUAAVISNIR/89/28.bmp,1065,buaa,nir,28.bmp,buaa-89-28.jpg,,,bmp,mongo,1.0,0.67,0.02,Happy,89.0,affection,,jpg,train
135,135,135,data/BUAA/BUAAVISNIR/88/2.bmp,1081,buaa,nir,2.bmp,buaa-88-2.jpg,,,bmp,mongo,0.0,0.0,0.0,Neutral,88.0,neutral,,jpg,val
136,136,136,data/BUAA/BUAAVISNIR/88/22.bmp,1099,buaa,nir,22.bmp,buaa-88-22.jpg,,,bmp,mongo,1.0,0.95,0.13,Happy,88.0,affection,,jpg,val
137,137,137,data/BUAA/BUAAVISNIR/88/24.bmp,1101,buaa,nir,24.bmp,buaa-88-24.jpg,,,bmp,mongo,0.0,0.1,-0.56,Neutral,88.0,affection,,jpg,val
